 श्रावकभूमिः (श्भ्_स्ह्: ५)	ཉན་ཐོས་ཀྱི་ནི་ས་ཞེས་བྱ་༎
 इन्द्रियैरविकलता कतमा [।	དབང་པོ་མ་ཚང་བ་མེད་པ་གང་ཞེ་ན་།
 ] यथापीहैकत्यः अजातो भवत्यनेडक इति विस्तरः [। ] अंगप्रत्यंगाविकलो वा यद्रूपेणांप्रत्यंगावैकल्येन श्रोत्रावैकल्यादिकेन भव्यः कुशलपक्षसमुदागमाय [।	འདི་ལྟར་འདི་ན་ལ་ལ་གླེན་པ་མ་ཡིན་ཞིང་དིག་པ་དང་ལྐུགས་པ་མ་ཡིན་པའི་བར་དུ་རྒྱས་པར་གྱུར་པ་དང་། ཡན་ལག་དང་ཉིང་ལག་མཚང་བ་མེད་པར་གྱུར་ཅིང་རྣ་བ་ཚང་བ་མེད་པ་ལ་སོགས་པ་ཡན་ལག་དང་ཉིད་ལག་མ་ཚང་བ་མེད་པ་གང་གིས་དགེ་བའི་ཕྱོགས་ཡང་དག་པར་བསྒྲུབ་པའི་སྐལ་པ་ཡོད་པ་ཡིན་ཏེ་།
 ] इदमुच्यते इन्द्रिया वैकल्यं [।]	དེ་ནི་དབང་པོ་མ་ཚང་བ་མེད་པ་ཞེས་བྱའོ་༎
 आयतनगतः प्रसादः कतमः [।	གནས་ལ་དད་པར་གྱུར་པ་གང་ཞེ་ན་༎ འདི་ལྟར་འདི་ན་ལ་ལས་དེ་བཞིན་གཤེགས་༄༤ཨ་༌་༎
 ] यथापीहैकत्येन तथागतप्रवेदिते धर्मविनये श्रद्धा प्रतिलब्धा भवति । चेतसः प्रसादः [।	བས་གསུངས་པའི་ཆོས་འདུལ་བ་ལ་དད་པ་དང་། སེམས་དང་བ་ཐོབ་པར་གྱུར་པ་ཡིན་ཏེ་།
 ] अयमुच्यते आयतनगतः प्रसादस्तदायतनं तथागतप्रवेदितो धर्मविनयः सर्वेषां लौकिकलोकोत्तराणां शुक्लधर्माणामुत्पत्तये [। ] या पुनरत्र श्रद्धा, तेन पूर्वगमेनाधिपत्येन स आयतनगतः प्रसादः [।]	དེ་ནི་གནས་ལ་དད་པར་གྱུར་པ་ཞེས་བྱའོ་༎ དེ་ལ་གནས་ཞེས་བྱ་བ་ནི་དེ་བཞིན་གཤེགས་པས་གསུངས་པའི་ཆོས་འདུལ་བ་ལ་བྱ་སྟེ་། འཇིག་རྟེན་དང་འཇིག་རྟེན་ལས་འདས་པའི་དཀར་པོའི་ཆོས་ཐམས་ཅད་སྐྱེ་བའི་གནས་ཡིན་པའི་ཕྱིར་རོ་༎ དེས་སྔོན་དུ་དྲངས་པའི་དབང་གིས་དེ་ལ་དད་པ་གང་ཡིན་པ་དེ་ནི་གནས་པ་དད་པར་གྱུར་པ་ཡིན་ཏེ་།
 सर्वक्लेशमलकालुष्यापनयना अपरिवृत्तकर्मान्तता येन पंचानामानन्तर्याणां कर्मणां,	ཉོན་མོངས་པའི་དྲི་མ་དང་རྙོག་པ་ཐམས་ཅད་དང་བྲལ་བའི་ཕྱིར་རོ་༎ ལས་ཀྱི་མཐའ་མ་ལ་ལོག་པ་གང་ཞེ་ན་། གང་གི་ཚེ་འདི་ཉིད་ལ་མཚམས་མེད་པའི་ལས་ལྔ་པོ་འདི་ལྟ་སྟེ་།
 तद्यथा मातृवधात् पितृवधादर्हद्वधात्संघभेदात्तथागतस्यान्तिके दुष्टचित्तरुचिरोत्पादादन्यतमान्यतमदानन्तर्यं कर्म दृष्ट एव धर्मे न कृतं भवति नाध्याचरितमियमुच्यते ।	མ་གསོད་པ་དང་། ཕ་གསོད་པ་དང་། དགྲ་བཅོམ་པ་གསོད་པ་དང་། དགེ་འདུན་གྱི་དབྱེན་བྱེད་པ་དང་། དེ་བཞིན་གཤེགས་པ་ལ་ངན་སེམས་ཀྱིས་ཁྲག་འབྱིན་པ་དག་ལས་མཚམས་མེད་པའི་ལས་གང་ཡང་རུང་བ་མ་བྱས་ཤིང་བྱེད་དུ་མ་བཅུག་པ་ཡིན་ཏེ་། 
 अपरिवृत्तकर्मान्तता ।	དེ་ནི་ལས་ཀྱི་མཐའ་མ་ལོག་པ་ཞེས་བྱའོ་༎
 इतीमानि पञ्चानन्तर्याणि कर्माणि कृतोपचितानि [। ] दृष्ट एव धर्मे परिवर्त्याभव्यो भवति परिनिर्वाणायार्यमार्गस्योत्पत्तये तस्मादेतानि परिवृत्तकर्मान्ततेत्युच्यते । स्वयमेवानेन स आत्मभाव एभिः पञ्चभिरङ्गैः सम्पादितो भवति । तस्मादात्मसम्पदित्युच्यते ।	ཚེ་འདི་ཉིད་ལ་མཚམས་མེད་པའི་ལས་ལྔ་པོ་དེ་དག་བྱས་ཤིང་བསགས་ལ་ཡོངས་སུ་མ་སྤངས་ན་ཡོངས་སུ་མྱང་ངན་ལས་འདའ་ཞིང་འཕགས་པའི་ལམ་སྐྱེད་པའི་སྐལ་བ་མེད་པས་ན་དེའི་ཕྱིར་དེ་དག་ནི་ལས་ཀྱི་མཐའ་ལོག་པ་ཞེས་བྱའོ་༎ དེས་བདག་ཉིད་ཀྱི་ལུས་ཡིན་ཏེ་ཡན་ལག་ལྔ་པོ་དེ་དག་གིས་འབྱོར་པར་བྱེད་པས་ན་དེའི་ཕྱིར་བདག་གི་འབྱོར་པ་ཞེས་བྱའོ་༎
 (श्भ्_स्ह्: ७) परसम्पत् कतमा [।	གཞན་གྱི་འབྱོར་བ་གང་ཞེ་ན་།
 ] तद्यथा बुद्धानामुत्पादः, सद्धर्मदेशनादेशितानां धर्माणां अवस्थानमवस्थितानां चानुप्रवर्त्तनं । परतश्च प्रत्यनुकम्पा [।]	འདི་ལྟ་སྟེ་སངས་རྒྱས་རྣམས་འབྱུང་བ་དང་། དམ་པའི་ཆོས་སྟོན་པ་དང་། ཆོས་བསྟན་པ་རྣམས་གནས་པ་དང་། ཆོས་གནས་པ་རྣམས་རྗེས་སུ་འཇུག་པ་དང་། གཞན་གྱི་ཕྱིར་རྗེས་སུ་སྙིང་བརྩེ་བར་བྱེད་པའོ་༎
 तत्रः बुद्धानामुत्पादः कतमः [।	དེ་ལ་སངས་རྒྱས་རྣམས་འབྱུང་བ་གང་ཞེས་ན་།
 ] यथापीहैकत्यः सर्वसर्वसत्वे(त्त्वे) षु कल्याणं हिताध्याशयमुत्पाद्य प्रभूतैर्दुष्करसहस्रैर्महता च पुण्यज्ञानसम्भारेण [] आत्मभावप्रतिलम्भे बोधिमण्डे निषद्य,	འདི་ལྟར་འདི་ན་ལ་ལ་སེམས་ཅན་ཐམས་ཅད་ལ་དགེ་ལེགས་དང་ཕན་པའི་བསམ་པ་བསྐྱེད་ནས་། དཀའ་བ་སྟོང་ཕྲག་མང་པོ་དང་། བསོད་ནམས་དང་ཡེ་ཤེས་ཀྱི་ཚོགས་ཆེན་པོས་བསྐལ་པ་གྲངས་མེད་པ་གསུམ་གྱིས་ཐ་མའི་ལུས་ཕྱི་མ་ཐོབ་ནས་བྱང་ཆུབ་ཀྱི་སྙིང་པོ་ལ་འདུག་སྟེ་། 
 पञ्चनिवरणानि प्रहाय,	སྒྲིབ་པ་ལྔ་སྤངས་ནས་།
 चतुर्षु स्मृत्युपस्थानेषु सूपस्थितचित्तः,	དྲན་པ་ཉེ་བར་གཞག་པ་བཞི་ལ་སེམས་ལེགས་པར་གནས་ཏེ་།
 सप्तत्रिंशद् बोधिपक्ष्यान् धर्मान् भावयित्वा [अ]नुत्तरां सम्यक्संबोधिमभिसंबुध्यते । अयमुच्यते बुद्धाना[मु]त्पादः ।	བྱང་ཆུབ་ཀྱི་ཕྱོགས་ཀྱི་ཆོས་སུམ་ཅུ་རྩ་བདུན་༄༤བ་བསྒོམས་ནས་། བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བ་ཡིན་ཏེ་། དེས་ནི་སངས་རྒྱས་རྣམས་འབྱུང་བ་ཞེས་བྱའོ་༎
 अतीतानागतप्रत्युत्पन्नेष्वध्वसु एवमेवा [क्लेश आ या] त एवं बुद्धा भगवन्तो लोक	འདས་པ་དང་། མ་འོངས་པ་དང་། ད་ལྟར་བྱུང་བའི་དུས་རྣམས་སུ་ཡང་སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཐམས་ཅད་དེ་ཁོ་ན་བཞིན་དུ་འབུང་བ་ཡིན་ནོ་༎ དམ་པའི་ཆོས་སྟོན་པ་གང་ཞེ་ན་།
 उत्पद्य तस्यैव च श्रावकलोकानुकम्पामुपादाय चत्वार्यार्यसत्यान्यारभ्य दुःख सद्भिरयञ्च धर्मो निर्यातो,	སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་དག་ཉིད་དང་། དེ་དག་ཉིད་ཀྱིས་ཉན་ཐོས་རྣམས་འཇིག་རྟེན་དུ་བྱུང་ནས་། འཇིག་རྟེན་ལ་རྗེས་སུ་ཐུགས་བརྩེ་བའི་ཕྱིར་། འཕགས་པའི་བདེན་པ་བཞི་པོ་སྡུག་བསྔལ་དང་། ཀུན་འབྱུང་བ་དང་། འགོག་པ་དང་། ལམ་རྣམས་ལས་བརྩམས་ནས་འདི་ལྟ་བུ་སྟེ་། མདོའི་སྡེ་དང་། དབྱངས་ཀྱིས་བསྙད་པའི་སྡེ་དང་། ལུང་བསྟན་པའི་སྡེ་དང་། ཚིགས་སུ་བཅད་པའི་སྡེ་དང་། ཆེད་དུ་བརྗོད་པའི་སྡེ་དང་། གླེང་གཞིའི་སྡེ་དང་། རྟོག་པ་བརྗོད་པའི་སྡེ་དང་། དེ་ལྟ་བུའི་བྱུང་བའི་སྡེ་དང་། སྐྱེས་པའི་རབས་ཀྱི་སྡེ་དང་། ཤིན་ཏུ་རྒྱས་པའི་སྡེ་དང་། རྨད་དུ་བྱུང་བའི་ཆོས་ཀྱི་སྡེ་དང་། གཏན་ལ་ཕབ་པར་བསྟན་པའི་སྡེའི་ཆོས་སྟོན་པར་མཛད་པ་ཡིན་ཏེ་། དེ་ནི་དམ་པའི་ཆོས་སྟོན་པ་ཞེས་བྱའོ་༎
 देशितः, प्रशस्तो बुद्धैश्च बुद्धश्रावकैश्चा[यमुच्यते बुद्धानामुत्पादः] ।	ཆོས་འདི་ནི་དམ་པ་ཡང་སངས་རྒྱས་རྣམས་དང་སངས་རྒྱས་ཀྱི་ཉན་ཐོས་རྣམས་ཀྱིས་བརྟགས་ཤིང་བསྟན་པའམ་བསྔགས་པ་ཡིན་པས་དེའི་ཕྱིར་དམ་པའི་ཆོས་ཏེ་། དེ་བཤད་པ་གང་ཡིན་པ་དེ་ནི་དམ་པའི་ཆོས་སྟོན་པ་ཞེས་བྱའོ་༎
 देशितानां धर्माणां अवस्थानं कतमत् । देशिते सद्धर्मे,	ཆོས་བསྟན་པ་རྣམས་གནས་པ་གང་ཞེ་ན་། སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་འཚོ་ཞིང་གཞེས་ལ་།
 प्रवर्तिते धर्मचक्रे, यावच्च बुद्धो भगवां(वान्) (श्भ्_स्ह्: ८) जीवति, तिष्ठति च,	ཆོས་ཀྱི་འཁོར་ལོ་བསྐོར་ཏེ་དམ་པའི་ཆོས་བསྟན་པ་ནས་།
 परिनिर्वृते च बुद्धे भगवति, यावता कालेन प्रतिपत्तिर्न हीयते, सद्धर्मश्च नान्तर्धीयते [।	སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པའི་བར་གྱི་དུས་ཇི་སྲིད་པར་སྒྲུབ་པ་མི་ཉམས་པ་དང་། དམ་པའི་ཆོས་མི་ནུབ་པ་ཡིན་ཏེ་།
 ] इदमुच्यते सद्धर्मस्यावस्थानं याव[वस्थानं वेदितव्यं] [।]	དེ་ནི་དམ་པའི་ཆོས་གནས་པ་ཞེས་བྱའོ་༎
 अवस्थितानां धर्माणामनुप्रवर्त्तनं कतमत् ।	གནས་པ་དེ་ཡང་དོན་དམ་པའི་ཆོས་མངན་སུམ་དུ་བྱ་བའི་ཚུལ་གྱིས་ཡིན་པར་རིག་པར་བྱའོ་༎ ཆོས་གནས་པ་རྣམས་རྗེས་སུ་འཇུག་པ་གང་ཞེ་ན་།
