 (वैद्य २५८)	༄༣༡༤བ་། །རྒྱ་གར་སྐད་དུ་།
 तिमिंगिरश्च नागराजः । गवांपतिश्च नागराजः । शतशीर्षश्च नागराजः । हुल्लुरश्च नागराजः । वहूदकश्च नागराजः । तक्षकश्च नागराजः । गोशीर्षश्च नागराजः । मृगशीर्षश्च नागराजः । नन्दोपनन्दौ च नागराजौ ।	ཀླུའི་རྒྱལ་པོ་ཨཽཏཔ་ལ་དང་། ཀླུའི་རྒྱལ་པོ་ཤིང་ཨཨེ་ལའི་ལོ་མ་ཅན་དང་། ཀླུའི་རྒྱལ་པོ་ཉ་ཟན་དང་། ཀླུའི་རྒྱལ་པོ་བ་ལང་གི་བདག་པོ་དང་། ཀླུའི་རྒྱལ་པོ་མགོ་བརྒྱ་པ་དང་། ཀླུའི་རྒྱལ་པོ་ཧུ་ལུ་ཏ་དང་། ཀླུའི་རྒྱལ་པོ་འཇོག་པོ་དང་། ཀླུའི་རྒྱལ་པོ་གླང་མགོ་དང་། ཀླུའི་རྒྱལ་པོ་རི་དབ༹གས་མགོ་དང་། ཀླུའི་རྒྱལ་པོ་དགའ་བོ་དང་། ཀླུའི་རྒྱལ་པོ་བསྙེན་དགའ་བོ་དང་། ཀླུའི་རྒྱལ་པོ་བད་སའི་རིགས་ཀྱི་བུ་དང་། ཀླུའི་རྒྱལ་པོ་མ་དྲོས་པ་དང་། ཀླུའི་རྒྱལ་པོ་རྒྱ་མཚོ་མཆིང་རྣམ་དང་། དེ་ལྟ་བུ་དག་ལ་སོགས་པ་ཀླུའི་རྒྱལ་པོ་བརྒྱ་སྟོང་དུ་མ་དག་ཀྱང་ཚོགས་སོ་༎
 वात्सीपुत्रश्च नागराजः । एवंप्रमुखाण्यनेकानि नागराजशतसहस्राणि संनिपतितानि । अनेकानि च गन्धर्वराजशतसहस्राणि संनिपतितानि ।	དྲི་ཟའི་རྒྱལ་པོ་བརྒྱ་སྟོང་དུ་མ་དག་ཀྱང་ཚོགས་པ་འདི་ལྟ་སྟེ་།
 तद्यथाउ᳡दुन्दुभिस्वरश्च गन्धर्वराजः । मनोज्ञस्वरश्च गन्धर्वराजः । सहस्रभुजश्च गन्धर्वराजः । सहांपतिश्च गन्धर्वराजः । शरीरप्रह्लादनश्च गन्धर्वराजः ।	དྲི་ཟའི་རྒྱལ་པོ་རྔའི་དབྱངས་ཀྱི་རྒྱལ་པོ་དང་། དྲི་ཟའི་རྒྱལ་པོ་ཡིད་དུ་འོང་བའི་དབྱངས་དང་། དྲི་ཟའི་རྒྱལ་པོ་ལག་པ་སྟོང་བ་དང་། དྲི་ཟའི་རྒྱལ་པོ་བློ་གྲོས་ཆེན་པོ་དང་། དྲི་ཟའི་རྒྱལ་པོ་ལུས་སིམ་པར་བྱེད་པ་དང་། དྲི་ཟའི་རྒྱལ་པོ་སིལ་སྙན་སྒྲ་བསྒྲགས་དང་། དྲི་ཟའི་རྒྱལ་པོ་རྒྱན་གྱིས་བརྒྱན་པ་དང་། དྲི་༄༣༡༦ཨ་༌༎
 निर्नादितभूर्यश्च गन्धर्वराजः । अलंकारभूषितश्च गन्धर्वराजः । कुमारदर्शनश्च गन्धर्वराजः । सुबाहुयुक्तश्च गन्धर्वराजः । धर्मप्रियश्च गन्धर्वराजः ।	ཟའི་རྒྱལ་པོ་གཞོན་ནུར་སྣང་བ་དང་། དྲི་ཟའི་རྒྱལ་པོ་ལག་པ་བཟང་པོ་དང་ལྡན་པ་དང་། དྲི་ཟའི་རྒྱལ་པོ་ཆོས་དགའ་དང་། དེ་ལྟ་བུ་ལ་སོགས་པ་དྲི་ཟའི་རྒྱལ་པོ་བརྒྱ་སྟོང་དུ་མ་དག་ཚོགས་སོ་༎
 एवंप्रमुखाण्यनेकानि गन्धर्वराजशतसहस्राणि संनिपतितानि तस्मिन् पर्षदि । अनेकानि च किन्नरराजशतसहस्राणि संनिपतितानि । तद्यथा - सुमुखश्च किन्नरराजः । रत्नकिरीटी च किन्नरराजः ।	འཁོར་དེར་མིའམ་ཅི་བརྒྱ་སྟོང་དུ་མ་ཚོགས་པ་འདི་ལྟ་སྟེ་།
 स्वातिमुखश्च किन्नरराजः ।	མིའམ་ཅིའི་རྒྱལ་པོ་བཞིན་བཟང་།
 प्रहसितश्च किन्नरराजः । (वैद्य २५९) चक्रव्यूहश्च किन्नरराजः । पुष्पावकीर्णश्च किन्नरराजः । मणिश्च किन्नरराजः । प्रलम्बोदरश्च किन्नरराजः । दृढवीर्यश्च किन्नरराजः । सुयोधनश्च किन्नरराजः । शतमुखश्च किन्नरराजः । द्रुमश्च किन्नरराजः ।	མིའམ་ཅིའི་རྒྱལ་པོ་ཅོད་པན་ཅན་དང་། མིའམ་ཅིའི་རྒྱལ་པོ་ས་རིའི་བཞིན་དང་། མིའམ་ཅིའི་རྒྱལ་པོ་རབ་ཏུ་དགའ་བྱས་དང་། མིའམ་ཅིའི་རྒྱལ་པོ་འཁོར་ལོ་བཀོད་པ་དང་། མིའམ་ཅིའི་རྒྱལ་པོ་མེ་ཏོག་གཏོར་བ་དང་། མིའམ་ཅིའི་རྒྱལ་པོ་ནོར་བུ་དང་། མིའམ་ཅིའི་རྒྱལ་པོ་གསུས་ཤོལ་དང་། མིའམ་ཅིའི་རྒྱལ་པོ་བརྩོན་འགྲུས་བརྟན་པ་དང་། མིའམ་ཅིའི་རྒྱལ་པོ་ཤིན་ཏུ་འཐད་པ་དང་། མིའམ་ཅིའི་རྒྱལ་པོ་བཞིན་བརྒྱ་བ་དང་། མིའམ་ཅིའི་རྒྱལ་པོ་ཤིང་རློན་དང་། དེ་ལྟ་བུ་ལ་སོགས་པ་མིའམ་ཅིའི་རྒྱལ་པོ་བརྒྱ་སྟོང་དུ་མ་དག་ཚོགས་སོ་༎
 एवंप्रमुखाणि अनेकानि किन्नरराजशतसहस्राणि संनिपतितानि तस्मिन् पर्षदि । अनेकाश्चाप्सरसःशतसहस्राः संनिपतिताः । तद्यथा - तिलोत्तमा नामाप्सरसा ।	ལྷའི་བུ་མོ་བརྒྱ་སྟོང་ཕྲག་དུ་མ་དག་ཚོགས་པ་འདི་ལྟ་སྟེ་།
 सुव्यूहा नामाप्सरसा । सुवर्णमेखला नामाप्सरसा । विभूषिता नामाप्सरसा । कर्णधारा नामाप्सरसा । अमृतबिन्दुर्नामाप्सरसा । परिशोभितकाया नामाप्सरसा । मणिप्रस्थनामाप्सरसा । चूडका नामाप्सरसा । मृदुका नामाप्सरसा । पञ्चभूर्याभिमुखा नामाप्सरसा । रतिकरा नामाप्सरसा । काञ्चनमाला नामाप्सरसा । नीलोत्पला नामाप्सरसा । धर्माभिमुखा नामाप्सरसा । सक्रीडा नामाप्सरसा । कृत्स्नाकरा नामाप्सरसा । सुव्यूहमुखा नामाप्सरसा । केयूरधरा नामाप्सरसा । दानंददा नामाप्सरसा ।	ལྷའི་བུ་མོ་ཏི་ལ་མཆོག་ཅེས་བྱ་བ་དང་། ལྷའི་བུ་མོ་ཤིན་ཏུ་བཀོད་པ་ཞེས་བྱ་བ་དང་། ལྷའི་བུ་མོ་གསེར་གྱི་སྐ་རགས་ཞེས་བྱ་བ་དང་། ལྷའི་བུ་མོ་རྒྱན་པ་ཞེས་བྱ་བ་དང་། ལྷའི་བུ་མོ་གདོས་འཛིན་ཅེས་བྱ་བ་དང་། ལྷའི་བུ་མོ་བདུད་རྩིའི་ཐིགས་པ་ཞེས་བྱ་བ་དང་། ལྷའི་བུ་མོ་ལུས་ཡོངས་སུ་མཛེས་པ་ཞེས་བྱ་བ་དང་། ལྷའི་བུ་མོ་༄༣༡༦བ་ནོར་བུའི་འོད་ཅེས་བྱ་བ་དང་། ལྷའི་བུ་མོ་གཙུག་ཕུད་ཅན་ཞེས་བྱ་བ་དང་། ལྷའི་བུ་མོ་ལྷའི་བཞིན་སྟོན་པ་ཞེས་བྱ་བ་དང་། ལྷའི་བུ་མོ་སིལ་སྙན་ལྔ་མངོན་པ་ཞེས་བྱ་བ་དང་། ལྷའི་བུ་མོ་དགའ་བར་བྱེད་པ་ཞེས་བྱ་བ་དང་། ལྷའི་བུ་མོ་གསེར་གྱི་ཕྲེང་བ་ཞེས་བྱ་བ་དང་། ལྷའི་བུ་མོ་མེ་ཏོག་ཨཽཏཔ་ལ་སྔོན་པོ་ཞེས་བྱ་བ་དང་། ལྷའི་བུ་མོ་ཆོས་མངོན་པ་ཞེས་བྱ་བ་དང་། ལྷའི་བུ་མོ་ཤིན་ཏུ་རོལ་བ་ཞེས་བྱ་བ་དང་། ལྷའི་བུ་མོ་མ་ལུས་འབྱུང་གནས་ཞེས་བྱ་བ་དང་། ལྷའི་བུ་མོ་ཤིན་ཏུ་བཀོད་པའི་བློ་གྲོས་ཞེས་བྱ་བ་དང་། ལྷའི་བུ་མོ་དཔུང་རྒྱན་འཛིན་པ་ཞེས་བྱ་བ་དང་། ལྷའི་བུ་མོ་སྦྱིན་པ་སྦྱིན་བྱེད་ཅེས་བྱ་བ་དང་། ལྷའི་བུ་མོ་ཟླ་བ་ཅན་དང་། དེ་ལྟ་བུ་ལ་སོགས་པ་ལྷའི་བུ་མོ་བརྒྱ་ཕྲག་དུ་མ་དག་ཚོགས་སོ་༎
 शशी नामाप्सरसा । एवंप्रमुखाण्यनेकाप्सरसःशतसहस्राणि संनिपतितानि तस्मिन् पर्षदि । अनेकानि च नागकन्याशतसहस्राणि संनिपतितानि । तद्यथा - विभूषणधरा नाम नागकन्या । स्वातिमुखा नाम नागकन्या । जयश्रीर्नाम नागकन्या । विजयश्रीर्नाम नागकन्या । मुचिलिन्दा नाम नागकन्या । त्रिजटा नाम नागकन्या । विद्युल्लोचना नाम नागकन्या । स्वातिगिरिर्नाम नागकन्या । शतपरिवारा नाम नागकन्या । विद्युत्प्रभा नाम नागकन्या । महौषधिर्नाम नागकन्या । जलबिन्दुर्नाम नागकन्या । एकशीर्षा नाम नागकन्या । शतबाहुर्नाम नागकन्या । ग्रसती नाम नागकन्या । अनाकृच्छ्रगता नाम नागकन्या ।	ཀླུའི་བུ་མོ་བརྒྱ་ཕྲག་དུ་མ་དག་ཀྱང་ཚོགས་པ་འདི་ལྟ་སྟེ་།
 सुभूषणा नाम नागकन्या । पाण्डलमेघा नाम नागकन्या । रथाभिरुढा नाम नागकन्या । त्यागगता नाम नागकन्या । अभिन्नपरिवारा नाम नागकन्या । पुलिन्दा नाम नागकन्या ।	ཀླུའི་བུ་མོ་རྒྱན་འཛིན་ཅེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་པུ་ལིང་ད་ཞེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་རལ་པ་གསུམ་པ་ཞེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་ས་རིའི་བཞིན་ཞེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་རྒྱལ་བའི་དཔལ་ཞེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་གློག་གི་མིག་ཅེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་གློག་འོད་ཅེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་ས་རི་ཞེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་ག-ཡོག་བརྒྱ་པ་ཞེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་སྨན་ཆེན་པོ་ཞེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་ཐིགས་པ་ཞེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་མགོ་གཅིག་མ་ཞེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་བཞོན་པ་བརྒྱ་པ་ཞེས་བྱ་བ་༄༣༡༧ཨ་༌༎
 सागरकुक्षिर्नाम नागकन्या । छत्रमुखा नाम नागकन्या । धर्मपीठा नाम नागकन्या । मुखरा नाम नागकन्या । वीर्या नाम नागकन्या । सागरगम्भीरा नाम नागकन्या ।	?་དང་། ཀླུའི་བུ་མོ་ཟ་བྱེད་ཅེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་མ་ལུས་འོངས་ཞེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་ཤིན་ཏུ་བརྒྱན་མ་ཞེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་ཐིག་ལེ་ཞེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་སྤྲིན་དཀར་མོ་ཞེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་དེ་བཞིན་དུ་ཆགས་པ་ཞེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་གཏོང་ལྡན་མ་ཞེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་འཁོར་མི་ཕྱེད་པ་ཞེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་བུ་ལིན་ད་ཞེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་རྒྱ་མཚོ་མཆིང་རྣམ་མངལ་ཞེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་གདུགས་ཀྱི་བཞིན་ཞེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་ཆོས་ལ་དགའ་བ་ཞེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་བདེ་བྱེད་ཅེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་བརྩོན་འགྲུས་ཞེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་རྒྱ་མཚོ་མཆིང་རྣམ་ལྟར་ཟབ་པ་ཞེས་བྱ་བ་དང་། ཀླུའི་བུ་མོ་རི་རབ་ལྷུན་པོའི་དཔལ་ཞེས་བྱ་བ་དང་། དེ་ལྟ་བུ་ལ་སོགས་ཏེ་ཀླུའི་བུ་མོ་བརྒྱ་སྟོང་དུ་མ་དག་ཚོགས་སོ་༎
 मेरुश्रीर्नाम नागकन्या । एवंप्रमुखाण्यनेकानि नागकन्या शतसहस्राणि संनिपतितानि तस्मिन् पर्षदि । अनेकानि च गन्धर्वकन्याशतसहस्राणि संनिपतितानि । तद्यथा - प्रियमुखा नाम गन्धर्वकन्या । प्रियंददा नाम गन्धर्वकन्या । सुदर्शना नाम गन्धर्वकन्या । वज्रश्रीर्नाम गन्धर्वकन्या । वज्रमाला नाम गन्धर्वकन्या । अनादर्शना नाम गन्धर्वकन्या । समालिनी नाम गन्धर्वकन्या । वनस्पतिर्नाम गन्धर्वकन्या । शतपुष्पा नाम गन्धर्वकन्या । मुकुलिता नाम गन्धर्वकन्या । रत्नमाला नाम गन्धर्वकन्या । मुदितपुष्पा नाम गन्धर्वकन्या । सुकुक्षिर्नाम गन्धर्वकन्या । राजश्रीर्नाम गन्धर्वकन्या । दुन्दुभिर्नाम गन्धर्वकन्या । शुभमाला नाम गन्धर्वकन्या । विभूषितालंकारा नाम गन्धर्वकन्या । अभिनमिता नाम गन्धर्वकन्या । धर्मकाङ्क्षिणी नाम गन्धर्वकन्या । धर्मंददा नाम गन्धर्वकन्या । औदुम्बरा नाम गन्धर्वकन्या । शताकारा नाम गन्धर्वकन्या । पद्मावती नाम गन्धर्वकन्या ।	དྲི་ཟའི་བུ་མོ་བརྒྱ་སྟོང་དུ་མ་དག་ཀྱང་ཚོགས་པ་འདི་ལྟ་སྟེ་།
 फलंददा नाम गन्धर्वकन्या । पद्मालंकारा नाम गन्धर्वकन्या । परिशोभितकाया नाम गन्धर्वकन्या । विलासेन्द्रगामिनी नाम गन्धर्वकन्या । पृथिवींददा नाम (वैद्य २६०) गन्धर्वकन्या ।	དྲི་ཟའི་བུ་མོ་དགའ་བའི་བཞིན་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་དགའ་བའི་སྦྱིན་བྱེད་ཅེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་མི་སྟོན་པ་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་རྡོ་རྗེའི་དཔལ་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་རྡོ་རྗེའི་ཕྲེང་བ་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་ཕྲེང་བ་བཟང་པོ་ཅན་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་ནགས་ཚལ་བདག་མོ་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་མེ་ཏོག་བརྒྱ་པ་ཞེས་བྱ་བ་དང་། ༄༣༡༧བ་དྲི་ཟའི་བུ་མོ་མེ་ཏོག་འབུས་པ་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་རིན་ཆེའི་ཕྲེང་བ་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་དུས་བའི་མེ་ཏོག་ཅེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་མངལ་བཟང་མ་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་རྒྱལ་པོའི་དཔལ་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་རྔ་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་ཕྲེང་བ་བཟང་མོ་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་རྒྱན་གྱིས་བརྒྱན་ཅེས་བྱ་བ་དང༏་དྲི་ཟའི་བུ་མོ་མངོན་པར་བཏུད་པ་ཞེས་བྱ་བ་དང་། 
 सिंहगामिनी नाम गन्धर्वकन्या । कुमुदपुष्पा नाम गन्धर्वकन्या । मनोरमा नाम गन्धर्वकन्या । दानंददा नाम गन्धर्वकन्या । देववचना नाम गन्धर्वकन्या । क्षान्तिप्रिया नाम गन्धर्वकन्या ।	དྲི་ཟའི་བུ་མོ་ཆོས་འདོད་ཅེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་ཆོས་སྦྱིན་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་མེ་ཏོག་ཨཽ་དུམབའ་རའི་ལྟོ་བ་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་རྣམ་པ་བརྒྱ་པ་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་མེ་ཏོག་པདམའི་དཔལ་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་མེ་ཏོག་པདམའི་དམིགས་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་ལུས་ཡོངས་སུ་མཛེས་པ་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་ཆེ་བས་དབང་པོ་བཞིན་དུ་འགྲོ་བ་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་ས་སྦྱིན་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་འབྲས་བུ་སྦྱིན་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་སེང་གེ་འགྲོས་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་མེ་ཏོག་ཀུ་མུ་ད་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་ཡིད་དགའ་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་སྦྱིན་བྱེད་ཅེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་ལྷའི་ཚིག་ཅེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་བཟོད་དགའ་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་མྱ་ངན་འདས་དགའ་ཞེས་བྱ་བ་དང་། དྲི་ཟའི་བུ་མོ་༄༣༡༨ཨ་༌༎
