 बोधिसत्त्वप्रातिमोक्षसूत्रम्	བྱང་ཆུབ་སེམས་དཔའི་སྡོམ་པའི་ཆོག་། 
 न चिरस्येदानी मे ऽक्षयस्याप्रमेयस्य निरुत्तरस्य महापुण्यनिधानस्य प्राप्तिर्भविष्यतीति । एवमेवार्थमनुविचिन्तयता तूष्णीं भवितव्यम् ।	བདག་ནི་རིང་པོར་མི་ཐོགས་པར་ཟད་པ་མེད་ཅིང་དཔག་ཏུ་མེད་པ་བླ་ན་མེད་པའི་བསོད་ནམས་ཀྱི་གཏེར་ཐོབ་པར་འགྱུར་རོ་ཞེས་དོན་འདི་ཉིད་བསམ་ཞིང་ཅང་མི་སྨྲ་བར་བྱའོ་༎ སླར་ཡང་བྱང་ཆུབ་སེམས་དཔའ་མཁས་པ་ངེས་།
 तेन पुनर्व्विज्ञेन बोधिसत्त्वेन स तथा प्रतिपन्नो बोधिसत्त्वो ऽविक्षिप्तेन चेतसा स्थितेन वा निषण्णेन वा एवं स्याद्वचनीयः । शृणु त्वमेवन्नामन् कुलपुत्रायुष्मन् भदन्तेति वा बोधिसत्त्वो ऽसि बोधौ च कृतप्रणिधानः । तेन ओमिति प्रतिज्ञातव्यं । स पुनरुत्तरि एवंस्याद्वचनीयः ।	དེ་ལྟར་གནས་པའི་བྱང་ཆུབ་སེམས་དཔའ་དེ་ལ་སེམས་མ་ཡེངས་པར་འདུག་པའམ་འགྲེང་བས་འདི་སྐད་བརྗོད་དེ་། 
 प्रतीच्छसि त्वमेवन्नामन् कुलपुत्रायुष्मान् भदन्तेति वा बोधिसत्त्वो ऽसि बोधौ कृतप्रणिधानो	ཁྱོད་མིང་འདི་སྐད་ཅེས་བྱ་བས་བྱང་ཆུབ་སེམས་དཔའི་བསླབ་པའི་གནས་ཐམས་ཅད་དང་བརྗོད་དེ་། 
 ममान्तिकात् सर्व्वाणि बोधिसत्त्वशिक्षापदानि सर्व्वञ्च बोधिसत्त्वशीलं संवरशीलं	། བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ཐམས་ཅད་དེ་།
 कुशलधर्म्मसंग्राहकशीलं सत्त्वार्थक्रियाशीलं च यच्छीलमतीतानां बोधिसत्त्वनामभूत् यानि च शिक्षापदानि । यच्छीलमनागतानाम् बोधिसत्त्वानां भविष्यति यानि च शिक्षापदानि ।	འདས་པའི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཚུལ་ཁྲིམས་དང་བསླབ་པའི་གནས་རྣམས་དང་། ཚུལ་ཁྲིམས་གོང་མ་འོངས་པའི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱིར་འགྱུར་བ་དང་། གང་བསླབ་པའི་གནས་རྣམས་དང་། ཚུལ་ཁྲིམས་གང་ད་ལྟར་ཕྱོགས་བཅུ་ན་ད་ལྟར་བྱུང་བའི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཚུལ་ཁྲིམས་དང་བསླབ་པའི་གཞི་གང་ཡིན་པ་རྣམས་ཏེ་།
 यच्छीलमेतर्हि दशसु दिक्षु प्रत्युत्पन्नानां बोधिसत्त्वानां भवति यानि च शिक्षापदानि । येषु च शिक्षापदेषु येषु शीलेष्वतीताः सर्व्वबोधिसत्त्वाः शिक्षितवन्तः । अनागताः सर्व्वबोधिसत्त्वाः शिक्षिष्यन्ते । प्रत्युत्पन्नाः सर्व्वबोधिसत्त्वाः शिक्षन्ते ।	བསླབ་པའི་གནས་རྣམས་དང་ཚུལ་ཁྲིམས་གང་རྣམས་ལ་འདས་པའི་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ཀྱིས་བསླབས་པ་དང་ལྡན་པ་དང་། མ་འོངས་པའི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱིས་སློབ་པར་འགྱུར་བ་དང་། ད་ལྟར་བྱུང་བའི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ད་ལྟར་སློབ་པ་རྣམས་ནོད་དམ་།
 तेन प्रतिगृण्हामीति प्रतिज्ञातव्यं ॥ त्रिरेवम् ॥	དེས་ཀྱང་ནོད་ལགས་སོ་ཞེས་དམ་བཅའོ་༎ ལན་གསུམ་དུའོ་༎
 समन्वाहरन्तु मां दशदिग्लोकधानुसन्निपतिता बुद्धा भगवन्तो बोधिसत्त्वाः ।	༄༢༤༠ཨ་༌་༎ ཕྱོགས་བཅུའི་འཇིག་རྟེན་གྱི་ཁམས་ན་བཞུགས་པའི་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་དང་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་བདག་ལ་དགོངས་སུ་གསོལ་། སློབ་དཔོན་བདག་ལ་དགོངས་སུ་གསོལ་། བདག་མིང་འདི་ཞེས་བགྱི་བས་།
 समन्वाहरत्वाचार्य्यो ऽहमेवन्नामा यत्किञ्चित्कायवाङ्मनोभिर्बुद्ध बोधिसत्त्वान् मातापितरौ तदन्यान् वा सत्त्वान् समागम्येहजन्मन्यन्येषु वा जन्मां तरेषु मयापायं कृतं कारितमनुमोदितम्	གང་ཅུང་ཟད་ལུས་དང་ངག་དང་ཡིད་རྣམས་ཀྱིས་སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་དང་། མ་དང་ཕ་དང་། དེ་ལས་གཞན་པའི་སེམས་ཅན་རྣམས་ལ་བརྟེན་ནས་བསྐྱེད་པའི་འདི་དང་སྲིད་པ་གཞན་རྣམས་སུ་བདག་གིས་སྡིག་པ་བགྱིས་པ་དང་བགྱིད་དུ་སྩལ་པ་དང་། རྗེས་སུ་ཡི་རང་བ་ཡང་རུང་སྟེ་།
 वा तत् सर्व्वमैकध्यमभिसंक्षिप्य पिण्डयित्वा तुलयित्वा सर्व्वबुद्धबोधिसत्त्वानामाचार्य्यस्य	དེ་དག་ཐམས་ཅད་གཅིག་ཏུ་བསྡུས་ཤིང་བཟླུམས་ཏེ་བསྡོམས་ནས་། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་དང་། སློབ་དཔོན་གྱི་སྤྱན་སྔར་མཆོག་དང་གཙོ་བོའི་བཤགས་པར་བགྱིའོ་༎
 चान्तिके ऽग्रया प्रवरया प्रतिदेशनया प्रतिदेशयामि जानन् स्मरन् न प्रतिच्छादयामि ॥ त्रिरेवम् ॥	ཤེས་ཤིང་དྲན་པས་རབ་ཏུ་མི་འཆབ་པོ་༎ འདི་ལྟར་ལན་གསུམ་དུའོ་༎
 सोहमेवंनामा एवंदेशितात्यय इमं दिवसमुपादाय आवोधिमण्डनिषदनात् बुद्धं भगवन्तं महाकारूणिकं सर्व्वज्ञं सर्व्वदर्शिनं सर्व्ववैरभयातीतं महापुरुषमभेद्यकायमनुत्तरकायं	བདག་མིང་འདི་སྐད་ཅེས་བགྱི་བས་འདི་ལྟར་སྡིག་པ་བཤགས་ནས་དུས་འདི་ནས་ཉེ་བར་བཟུང་སྟེ་བྱང་ཆུབ་ཀྱི་སྙིང་པོ་ལ་ཉེ་བར་མཆིས་ཀྱི་བར་དུ་སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཐུགས་རྗེ་ཆེན་པོ་ཅན་། ཐམས་ཅད་མཁྱེན་པ་། ཐམས་ཅད་གཟིགས་པ་། དགྲའི་འཇིགས་པ་ཐམས་ཅད་ལས་འདས་པ་སྐྱེས་བུ་ཆེན་པོ་མི་ཕྱེད་པའི་སྐུ་། བླ་ན་མེད་པའི་སྐུ་།
 धर्म्मकायं शरणं गच्छामि द्विपदानामग्र्यम् ॥	ཆོས་ཀྱི་སྐུ་། རྐང་གཉིས་རྣམས་ཀྱི་མཆོག་ལ་སྐྱབས་སུ་མཆིའོ་༎
 सो ऽहमेवंनामा एवंदेशितात्यय इमं दिवसमुपादाय आबोधिमण्डदिषदनाद्धर्म शरणं गच्छामि शान्तं विरागाणां प्रवरम् ।	བདག་མིང་འདི་སྐད་ཅེས་བགྱི་བས་འདི་ལྟར་སྡིག་པ་བཤགས་ནས་། དུས་འདི་ནས་ཉེ་བར་བཟུང་སྟེ་། བྱང་ཆུབ་ཀྱི་སྙིང་པོ་ལ་མཆིས་ཀྱི་བར་དུ་ཞི་བ་འདོད་ཆགས་དང་བྲལ་བའི་མཆོག་ཆོས་ལ་སྐྱབས་སུ་མཆིའོ་༎ 
 सो ऽहमेवंनामा एवंदेशितात्यय इमं दिवसमुपादाय आबोधिमण्डनिषदनादवैवर्त्तिकबोधिसत्त्वसंघं शरणं गच्छामि गणाणां श्रेष्ठम् ॥ त्रिरेवम् ॥	བདག་མིང་འདི་སྐད་ཅེས་བགྱི་བས་འདི་ལྟར་སྡིག་པ་བཤགས་ནས་། དུས་འདི་ནས་བཟུང་སྟེ་། བྱང་ཆུབ་ཀྱི་སྙིང་པོ་ལ་མཆིས་ཀྱི་བར་དུ་ཕྱིར་མི་ལྡོག་པའི་བྱང་ཆུབ་སེམས་དཔའི་དགེ་འདུན་ཚོགས་རྣམས་ཀྱི་མཆོག་ལ་སྐྱབས་སུ་མཆིའོ་༎ འདི་ལྟར་ལན་གསུམ་དུའོ་༎
 सोहमेवंनामा एवंदेशितात्ययस्त्रिशरणगतो ऽनन्तसत्त्वधातूत्तारणायाभ्युद्धरणाय संसारदुःखात् परित्राणाय सर्व्वज्ञज्ञाने अनुत्तरे प्रतिष्ठापनाय	བདག་མིང་འདི་སྐད་ཅེས་བགྱི་བས་འདི་ལྟར་སྡིག་པ་བཤགས་ནས་། གསུམ་ལ་སྐྱབས་སུ་མཆིས་ཏེ་། མཐའ་ཡས་པའི་སེམས་ཅན་གྱི་ཁམས་བསྒྲལ་བའི་ཕྱིར་དང་། འབྱུང་བའི་ཕྱིར་དང་། འཁོར་བའི་སྡུག་བསྔལ་ལས་ཡོངས་སུ་བསྐྱབ་པའི་ཕྱིར་དང་། ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་བླ་ན་མེད་པ་ལ་གཞག་པའི་༄༢༤༠བ་ཕྱིར་།
 यथा ते अतीतानागतप्रत्युत्पन्ना बोधिसत्त्वा बोधिचित्तमुत्पाद्य बुद्धत्वमधिगतवन्तो ऽधिगमिष्यन्ति अधिगच्छन्ति च ।	འདི་ལྟར་འདས་པ་དང་མ་འོངས་པ་དང་ད་ལྟར་བྱུང་བའི་བྱང་ཆུབ་སེམས་དཔའ་དེ་རྣམས་ཀྱིས་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་ནས་།
 यथा सर्व्वबुद्धा ऽनावरणेन बुद्धज्ञानेन बुद्ध् चक्षुषा जानन्ति पश्यन्ति यथा धर्म्माणां निःस्वभावताम(?) नुजानन्ति ।	སངས་རྒྱས་ཉིད་རྟོགས་པ་དང་ལྡན་པ་དང་། རྟོགས་པར་གྱུར་པ་དང་། རྟོགས་པར་འགྱུར་བ་དང་། ཇི་ལྟར་སངས་རྒྱས་ཐམས་ཅད་སྒྲིབ་པ་དང་བྲལ་བ་དང་། སངས་རྒྱས་ཀྱི་ཡེ་ཤེས་དང་། སངས་རྒྱས་ཀྱི་སྤྱན་གྱིས་མཁྱེན་ཅིང་གཟིགས་པ་རྣམས་དང་། ཇི་ལྟར་ཆོས་རྣམས་ཀྱི་ཆོས་ཉིད་མཁྱེན་པའི་ཆོག་དེས་།
 तेन विधिना अहमेवंनामा एवंनाम्न आचार्य्यस्यान्तिकात् सर्व्वबुद्धबोधिसत्त्वानां च पुरतो ऽनुत्तरायां सम्यक्सम्बोधौ चित्तमुत्पादयामि ॥ त्रिरेवम्	བདག་མིང་འདི་སྐད་ཅེས་བགྱི་བ་སློབ་དཔོན་དང་ཉེ་བས་སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་སྤྱན་སྔར་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པར་བགྱིའོ་༎ འདི་ལྟར་ལན་གསུམ་མོ་༎
 इदं चाहमत्ययदेशनात्रिशरणगमनबोधिचित्तोत्पादजनितं कुशलमूलमनुत्तरायां सम्यक्संबोधौ परिणामयामि यदहं लोके अशरणे अलयने अपरायणे ऽद्विपे त्राणं शरणं लयणं परायणं द्वीपो भवेयम् ।	བདག་གིས་སྡིག་པ་བཤགས་པ་འདི་དང་། གསུམ་ལ་སྐྱབས་སུ་འགྲོ་བ་དང་། བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པ་ལས་བྱུང་བའི་དགེ་བའི་རྩ་བ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ཡོངས་སུ་བསྔོ་བར་བགྱིའོ་༎ སྐྱབས་མེད་པ་དང་། སྐྱོབ་པ་མེད་པ་དང་། གནས་མེད་པ་དང་། དཔུང་གཉེན་མེད་པ་དང་། གླིང་མེད་པའི་འཇིག་རྟེན་ལ་སྐྱབས་དང་། སྐྱོབ་པ་དང་། གནས་དང་དཔུང་གཉེན་དང་། གླིང་དུ་གྱུར་ཅིག་། 
 सर्व्वसत्त्वांश्च भवार्णवादुतीर्णस्तारयेयम् ।	སེམས་ཅན་ཐམས་ཅད་ཀྱང་འཁོར་བའི་རྒྱ་མཚོ་ལས་མ་བསྒྲལ་བ་ལས་སྒྲོལ་བར་གྱུར་ཅིག་། 
 अपरिनिर्वृताननावरणेन धर्म्मधातुपरिनिर्वाणेन परिनिर्व्वापयेयम् । अनाश्वस्तानाश्वाशयेयम् ॥ त्रिरपि ॥	སྒྲིབ་པ་ལས་ཡོངས་སུ་མ་འདས་པ་ཆོས་ཀྱི་དབྱིངས་ཀྱི་མྱ་ངན་ལས་འདས་པས་ཡོངས་སུ་མྱ་ངན་ལས་བཟླ་བར་གྱུར་ཅིག་། དབུགས་མ་ཕྱིན་པ་རྣམས་དབུགས་འབྱིན་པར་གྱུར་ཅིག་།འདི་ལྟར་ལན་གསུམ་མོ་༎ བདག་མིང་འདི་ཞེས་བགྱི་བས་འདི་ལྟར་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པས་།
 सोहमेवंनामा एवमुत्पादितबोधिचित्तो ऽनन्तसत्त्वधातुं यथा मातापितृभगिनीभ्रातृपुत्रदुहित्रन्यतमान्यतमज्ञातिसालोहितस्थानीयांस्तथा प्रतिगृण्हामि	སེམས་ཅན་གྱི་ཁམས་མཐའ་མེད་པ་ལ་ཇི་ལྟར་མ་དང་ཕ་དང་སྲིང་མོ་དང་སྤུན་དང་༎ བུ་དང་བུ་མོ་དང་། གཞན་གཉེན་དང་སྣག་གི་གཉེན་མཚམས་སུ་གྱུར་པ་རྣམས་འདི་ལྟར་སོ་སོར་གཟུང་བར་བགྱིའོ་༎
 प्रतिगृह्य च यथाशक्ति यथाबलम् यथाज्ञानं कुशलमूलं समारोपयामि ।	བཟུང་ནས་ཀྱང་ནུས་པ་ཇི་ལྟར་བ་དང་། སྟོབས་ཇི་ལྟ་བ་དང་། བརྟེན་པ་ཇི་ལྟ་བས་དགེ་བའི་རྩ་བ་ཡང་དག་པར་བསྐྱེད་པར་བགྱིའོ་༎ འདི་ནས་བཟུང་སྟེ་།
 इतः प्रभृति यत्किञ्चित् दानं दास्यामि शीलं रक्षिष्यामि क्षांति संपादयिष्यामि वीर्यमारभ्य	ཅུང་ཟད་སྦྱིན་པ་གཏང་བར་བགྱིའོ་༎ ཚུལ་ཁྲིམས་བསྲུང་བར་བགྱིའོ་༎ བཟོད་པ་བསྐྱེད་པར་བགྱིའོ་༎ བརྩོན་འགྲུས་བརྩམ་པར་བགྱིའོ་༎ བསམ་གཏན་ལ་སྙོམས་༄༢༤༡ཨ་༌་༎ པར་འཇུག་གོ་༎ ཤེས་རབ་བརྟེན་པར་བགྱིའོ་༎ དགེ་བའི་རྩ་བ་ཐམས་ཅད་ལ་ཡང་སློབ་པོ་༎
 ध्यानं समापत्स्ये प्रज्ञया व्यवचार्य्य उपायकौशल्यं वा शिक्षिष्ये तत् सर्व्वसत्त्वानामर्थाय हिताय सुखाय ॥	དེ་དག་ཐམས་ཅད་སེམས་ཅན་ཐམས་ཅད་ཀྱི་དོན་དང་། ཕན་པ་དང་། བདེ་བ་དང་། བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་བརྩམས་ཏེ་།
 उत्तरां च सम्यक्संबोधिमारभ्य तेषां महाभूमिप्रविष्टानां बोधिसत्त्वानां महाकारुणिकाणां महायाने सामिचीमनुप्रव्रजामि ।	ས་ཆེན་པོར་ཆུད་པའི་བྱང་ཆུབ་སེམས་དཔའ་ཐུགས་རྗེ་ཆེན་པོ་ཅན་དེ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་འཇུག་པའི་རྗེས་སུ་མཆིའོ་༎ འདི་ལྟར་སློབ་པའི་བྱང་ཆུབ་སེམས་དཔའ་བདག་བྱང་ཆུབ་སེམས་དཔར་དུས་འདི་ནས་བཟུང་སྟེ་།
 अनुप्रव्रज्य बोधिसत्त्वो ऽहं बोधिसत्त्व इति मामितः प्रभृत्याचार्य्यो धारयतु ॥ त्रिरेवम् ॥	བདག་སློབ་དཔོན་གྱིས་གཟུང་དུ་གསོལ་། འདི་ལྟར་ལན་གསུམ་མོ་༎
 ततस्तेनाचार्य्येण तस्याः प्रतिमायाः पुरतो दशसु दिक्षु बुद्धबोधिसत्त्वानां तिष्ठतां ध्रियतां यापयतां पादयोर्न्निपत्य सामिचीं कृत्वा एवमारोचयितव्यम्	དེ་ནས་སློབ་དཔོན་ངེས་སྐུ་དེའི་སྤྱན་སྔར་ཕྱོགས་བཅུའི་སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་བཞུགས་ཤིང་འཚོ་ཞིང་འཛིན་པ་དང་། གཞེས་པ་རྣམས་ལ་ཞབས་གཉིས་ལ་ཕྱག་འཚལ་ནས་བཏུད་དེ་གསོལ་བར་བྱའོ་༎
 गृहीतमनेनैवंनाम्ना बोधिसत्त्वेन ममैवंनाम्नो बोधिसत्त्वस्यान्तिकात् यावत् त्रिरपि बोधिसत्वशीलसंवरसमादानम् ।	མིང་འདི་སྐད་ཅེས་བགྱི་བའི་བྱང་ཆུབ་སེམས་དཔའ་བདག་མིང་འདི་སྐད་ཅེས་བགྱི་བའི་བྱང་ཆུབ་སེམས་དཔའ་དང་ཉེ་བ་ལས་ཇི་སྲིད་དུ་ལན་གསུམ་དུ་། ཡང་བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ཀྱི་སྡོམ་པ་ཡང་དག་པར་བླངས་པ་ལ་།
 सोहमेवंनामा बोधिसत्त्व आत्मानं साक्षिभूतं प्रजानन् अस्यैवंनाम्नो बोधिसत्त्वस्य	བདག་མིང་འདི་སྐད་ཅེས་བགྱི་བའི་བྱང་ཆུབ་སེམས་དཔའ་མིང་འདི་སྐད་ཅེས་བགྱི་བའི་བྱང་ཆུབ་སེམས་དཔའི་བདག་ཉིད་དཔང་དུ་གྱུར་པར་ཡང་དག་པར་ཤེས་ཏེ་། 
 परमार्य्याणां विपरोक्षाणामपि सर्वत्र सर्व्वसत्त्वानां विपरोक्षबुद्धीनां दशदिक्ष्वनन्तापर्य्यन्तेषु लोकधातुष्वारोचयामि ।	ཕྱོགས་བཅུའི་འཇིག་རྟེན་གྱི་ཁམས་མཐའ་མེད་པ་རྣམས་སུ་འཕགས་པའི་མཆོག་ལྐོག་ཏུ་གྱུར་ཤེས་ཏེ་། ཀྱང་། སེམས་ཅན་གྱི་དོན་ལ་ལྐོག་ཏུ་མ་གྱུར་པ་རྣམས་ལ་།
 अस्मिन् बोधिसत्त्वशीलसंवरसमादानम् ॥ त्रिरेवम् ॥	འདི་བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ཀྱི་སྡོམ་པ་ཡང་དག་པར་བླངས་པ་ལ་མཁྱེན་པར་གསོལ་ལོ་༏་།འདི་ལྟར་ལེན་གསུམ་མོ་༎
 एवं पुनः शीलसंवरसमादानकर्म्मसमाप्त्यनन्तरं धर्म्मता खल्वेषा यद् दशसु	འདི་ལྟར་ཡང་ཚུལ་ཁྲིམས་ཀྱི་སྡོམ་པ་ཡང་དག་པར་བླངས་པའི་ལས་ཀྱི་རྗེས་ལ་། འདི་ནི་ངེས་པར་ཆོས་ཉིད་ཡིན་ཏེ་།
 दिक्ष्वनन्तापर्य्यन्तेसु लोकधातुषु तथागतानां तिष्ठतां ध्रियतां यापयतां महाभूमिप्रविष्टानां	ཕྱོགས་བཅུའི་འཇིག་རྟེན་གྱི་ཁམས་མཐའ་ཡས་པ་ལ་གཏུགས་པ་ན་། དེ་བཞིན་གཤེགས་པ་རྣམས་བཞུགས་ཤིང་འཛིན་པ་རྣམས་གཞེས་པ་རྣམས་དང་། ས་ཆེན་པོར་ཆུད་པའི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ལ་འདི་ལྟ་བུའི་རང་བཞིན་གྱི་ལྟས་འབྱུང་བར་འགྱུར་རོ་། 
 च बोधिसत्त्वानां तद्रुपं निमित्तम् प्रादुर्भवति येन तेषामेवं भवति ।	གང་གིས་དེ་རྣམས་ལ་འདི་ལྟ་བུར་འགྱུར་བ་སྟེ་།
 एवंनाम्ना बोधिसत्त्वेन एवंनाम्नो बोधिसत्त्वस्यान्तिकात् बोधिसत्त्वशीलसंवर समादानं समात्तमिति ॥	མིང་འདི་སྐད་ཅེས་བྱ་བའི་བྱང་ཆུབ་སེམས་དཔའ་དང་ཉེ་བས་མིང་འདི་སྐད་ཅེས་བྱ་བའི་བྱང་ཆུབ་སེམས་དཔའ་༄༢༤༡བ་དང་ཉེ་བ་ལས་བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ཀྱི་སྡོམ་པ་ཡང་དག་པར་བླང་བ་བླངས་སོ་ཞེས་སོ་༎
 एवं तावत् परतः समादानविधिरुक्तः ॥	འདི་ལྟར་རེ་ཞིག་གཞན་ཡང་བླང་བའི་ཆོག་བརྗོད་པ་།
