nArakANAm karmaBiH tatra BUta viSezAH saMBavanti varNa AkRti pramANa bala viSizwAH ye naraka pAla Adi saMjQAm pratilaBante taTA ca pariNamanti	yi dags kyi bye brag dag kyang ma yin no // sems can dmyal ba de dag gi las rnams kyis der 'byung ba'i bye brag dag 'di lta bur 'byung ste / mdog dang byad gzugs dang bong tshod dang stobs kyi bye brag gang gis sems can dmyal ba'i srung ma la sogs pa'i ming thob pa'o //	85.42217769968742
yat dviDAm hasta vikzepa Adi kriyAm kurvantaH dRSyante Baya utpAdana arTam	gang lag pa brkyang pa la sogs pa bya ba sna tshogs byed par snang ba de lta bur yang 'grub ste / de dag 'jigs pa bskyed pa'i phyir ro //	82.01949810287631
yaTA meza AkRtayaH parvatAH AgacCantaH gacCantaH yaH SAlmalI vane ca kaNwakAH aDomuKIBavantaH UrdDva muKIBavantaH ca iti	dper na lug lta bu'i ri dags 'ong ba dang / 'gro ba dang / lcags kyi shal la ma li'i nags tshal chor ma kha thur du lta ba dang gyen du lta bar 'gyur ba lta bu ste /	79.48911804081466
na te na saMBavanti eva	de dag ni med pa yang ma yin no zhe na /	84.67793440818787
yadi tad karmaBiH tatra BUtAnAm saMBavaH taTA	gal te de'i las kyis der 'byung ba dag ni byung ba dang / de bzhin 'gyur bar 'dug na go //	73.16611435574158
izyate pariNAmaH ca kim vijQAnasya na izyate	rnam par shes par cis mi 'dod //	73.9231870174408
vijQAnasya eva tad karmaBiH taTA pariNAmaH kasmAt na izyate kim punar BUtAni kalpyante api ca	de'i las rnams kyis der rnam par shes pa nyid der de lta bur 'gyur ba ci'i phyir mi 'dod la / ci'i phyir 'byung ba rnams su rtog /	88.68944325055791
karmaNaH vAsanA anyatra Palam anyatra kalpyate	gzhan na las kyi bag chags la // 'bras bu dag ni gzhan du rtog /	83.72123274467654
tatra eva na izyate yatra vAsanA kim nu kAraNam	gang na bag chags yod pa der // ci'i phyir na 'dod mi bya //	92.34995370691448
yena hi karmaNA nArakANAm tatra tAdRSaH BUtAnAm saMBavaH kalpyate pariNAmaH ca tasya karmaNaH vAsanA tezAm vijQAna saMtAna saMniviz	sems can dmyal ba pa rnams kyi las gang gis der 'byung ba dag de lta bur 'byung ba dang / 'gyur bar yang rtog pa'i las de'i bag chags de dag nyid kyi rnam par shes pa'i rgyud la / gnas te /	84.76181165795505
yatra eva ca vAsanA tatra eva tasyAH Palam tAdRSaH vijQAna pariNAmaH kim na izyate	gzhan ma yin na bag chags de gang na yod pa de dag nyid la de'i 'bras bu rnam par shes par gyur pa de 'dra bar ci'i phyir mi 'dod la /	89.69832433348843
yatra vAsanA na asti tatra tasyAH Palam kalpyate iti kim atra kAraNam	gang na bag chags med pa der de'i 'bras bu rtog ba 'di la gtan tshigs ci yod / @6a * // smras pa /	83.36322010526075
AgamaH kAraNam	lung gi gtan tshigs yod de /	67.5255765914917
yadi vijQAnam eva rUpa Adi pratiBAsam syAt na rUpa AdikaH rTaH tadA rUpa Adi Ayatana astitvam BagavatA na uktam syAt	gal te rnam par shes pa nyid gzugs la sogs par snang gi // gzugs la sogs pa'i don ni med na gzugs la sogs pa'i skye mched yod par ni bcom ldan 'das kyis gsung bar mi 'gyur ro zhe na / 'di ni gtan tshigs ma yin te //	90.46153680373938
akAraNam etat yasmAt	'di ltar /	60.842435121536255
rUpa Adi Ayatana astitvam tat vineya janam prati	gzugs sogs skye mched yod par ni // des 'dul ba yi skye bo la // dgongs pa'i dbang gis gsungs pa ste //	79.44444432064601
aBiprAya vaSAt uktam upapAduka sattva vat	brdzus te byung ba'i sems can bzhin //	82.5333872719815
yaTA asti sattvaH upapAdukaH iti uktam BagavatA aBiprAya vaSAt citta saMtati anucCedam AyatyAm aBipretya	dper na bcom ldan 'das kyis brdzus te byung ba'i sems can bzhin yod do // zhes gsungs ba yang phyi ma la sems kyi rgyud rgyun mi 'chad pa la dgongs nas dgongs pa'i dbang gis gsungs pa ste /	89.78664444154809
na asti iha sattvaH AtmA vA DarmAH tu ete sa hetukAH	'di na bdag gam sems can med // chos 'di rgyu dang bcas las byung //	83.27453527550436
iti vacanAt	zhes gsungs pa'i phyir ro //	93.96594735554287
evam rUpa Adi Ayatana astitvam api uktam BagavatA tad deSanA vineya janam aDikRtya iti ABiprAyikam tat vacanam	de bzhin du bcom ldan 'das kyis gzugs la sogs pa'i skye mched yod par gsungs pa yang de bstan pas 'dul ba'i skye bo'i ched du ste / bka' de ni dgongs pa can no //	86.0681537710285
kaH tra aBiprAyaH	'dir ci las dgongs she na /	75.41045385819895
yatas sva bIjAt vijQaptiH yadABAsA pravartate	rang gi sa bon gang las su // rnam rig snang ba gang byung ba //	74.57572844916717
dviviDa Ayatana tvena te tasyAH muniH abravIt	de dag de yi skye mched ni // rnam pa gnyis su thub pas gsungs //	64.37918723942117
kim uktam Bavati	'di skad du bstan par 'gyur zhe na /	75.29437592294481
rUpa pratiBAsA vijQaptiH yatas sva bIjAt pariNAma viSeza prAptAt utpadyate tat ca bIjam yat pratiBAsA ca sA te tasyAH vijQapteH cakz	gzugs su snang ba'i rnam par rig pa rang gi sa bon 'gyur ba'i bye brag tu gyur pa gang las byung ba'i sa bon de dang snang ba gang yin pa de dang de dag ni de'i mig dang / gzugs kyi skye mched du bcom ldan 'das kyis go rims bzhin du gsungs so //	88.04082070784231
yaTAkramam BagavAn abravIt evam yAvat sprazwavya pratiBAsA vijQaptiH yatas sva bIjAt pariNAma viSeza prAptAt utpadyate tat ca bIjam yat pratiBAsA ca sA te tasyAH kAya sprazwa vya Ayatana tvena yaTAkranam	de bzhin du reg byar snang ba'i rnam par rig pa'i bar du rang rang gi sa bon 'gyur ba'i bye brag tu gyur pa'i sa bon gang las byung ba'i sa bon de dang / snang ba gang yin pa de dang de dag ni bcom ldan 'das kyis de'i lus dang reg bya'i skye mched du go rims bzhin du gsungs te /	81.8616019143154
BagavAn abravIt iti ayam aBiprAyaH	'di ni 'dir dgongs pa'o //	71.49712043542128
evam punar aBiprAya vaSena deSayitvA kaH guNAH	de ltar dgongs pa'i dbang gis bstan pa la yon tan ci yod ce na /	78.25720939300723
taTA pudgala nErAtmya praveSaH hi	de ltar gang zag la bdag med par 'jug par 'gyur ro //	91.43464476207517
taTA hi deSyamAne pudgala nErAtmyam praviSanti	de ltar bshad na gang zag la bdag med par 'jag @6b par 'gyur te /	82.65691890608731
dvayAt vijQAna zawkam pravartate	drug po gnyis las rnam par shes pa drug 'byung gi /	78.27842770370783
na tu kaScid ekaH drazwA asti na yAvat mantA iti evam viditvA ye pudgala nErAtmya deSana AvineyAH te pudgala nErAtmyam praviSanti	lta ba po gcig pu nas reg pa po'i bar du gnang yang med par rig nas gang dag gang zag la bdag med par bstan pas 'dul ba de dag gang zag la bdag med par 'jug go //	85.91806927408489
anyaTA punar	gzhan du yang /	86.8802170753479
deSanA Darma nErAtmya praveSaH	bstan pa chos la bdag med par 'jug 'gyur //	85.39255570256434
anyaTA iti vijQaptimAtra deSanA	gzhan du yang zhes bya ba ni rnam par rig pa tsam du bstan pa'o //	83.2207071275422
kaTam Darma nErAtmya praveSaH	ji ltar chos la bdag med par 'jug ce na /	92.39438073809553
vijQapti mAtram idam rUpa Adi Darma pratiBAsam utpadyate na tu rUpa Adi lakzaNaH DarmaH kaH pi asti iti viditvA	rnam par rig pa tsam 'di nyid gzugs la sogs pa'i chos su snang bar 'byung ste / gzugs la sogs pa'i mtshan nyid kyi chos gang yang med bar rig nas 'jug go //	89.49795797130986
yadi tarhi sarvaTA DarmaH na asti tat api vijQaptimAtram na asti iti kaTam tarhi vyavasTApyate na Kalu sarvaTA DarmaH na asti iti evam Darma nErAtmya praveSaH Bavati  api tu kalpita AtmanA	gal te chos rnam pa thams cad du med na rnam par rig pa tsam zhes bya ba de yang med pas de ji ltar rnam par gzhag ce na / chos ni rnam pa thams cad du med pa ma yin pas de ltar chos la bdag med par 'jug par 'gyur te /	81.37316000648363
yaH bAlEH DarmANAm svaBAvaH grAhya grAhaka AdiH parikalpataH tena kalpitena AtmanA tezAm nErAtmyam na tu anaBilApyena AtmanA yaH budDAnAmiti	brtags pa'i bdag nyid kyis / gang byis pa rnams kyis chos rnams kyi rang bzhin kun brtags pa'i bdag nyid des de dag bdag med kyi sangs rgyas kyi yul gang yin pa brjod du mad pa'i bdag nyid kyis ni med pa ma yin no //	89.3873249182274
evam vijQaptimAtrasya api vijQapti antara parikalpitena AtmanA nErAtmya praveSAt vijQaptimAtra vyavasTApanayA sarva DarmANAm nErAtmya prana tu tad astitva apavAdAt	de ltar rnam par rig pa tsam yang rnam par rig pa gzhan gyis kun brtags pa'i bdag nyid kyis bdag med par rtogs pa'i phyir rnam par rig pa tsam du rnam par gzhag pas chos thams cad la chos la bdag med par 'jug pa yin no // gyi / yod pa de la yang rnam pa thams cad du skur pas ni ma yin no no //	90.52547243765795
itaraTAH hi vijQapteH api vijQapti antaram arTaH syAt iti vijQaptimAtra tvam na siDyeta arTavatI tvAt vijQaptInAm	gyi / // gzhan du na ni rnam par rig pa gzhan yang rnam par rig pa gzhan gyi don du 'gyur bas rnam par rig pa tsam nyid du mi 'grub ste / rnam par rig pa rnams don dang ldan pa'i phyir ro //	90.99244934054367
kaTam punar idam pratyetavyam anena aBiprAyeNa BagavatA rUpa Adi Ayatana astitvam uktam na punar santi eva tAni yAni rUpa Adi vijQaptInAmvizayIBavanti iti  yasmAt	bcom ldan 'das kyis dgongs pa 'dis gzugs la sogs pa'i skye mched yang par gsungs kyi / gzugs la sogs pa gang dag yod bzhin du de dag rnam par rig pa so so'i yul du mi 'gyur ro zhes bya ba de ji ltar rtogs par bya zhe na /	87.86056915001242
na tat ekam na ca anekam vizayaH paramANuSaH	'di ltar de ni gcig na'ang yul min la // phra rab rdul du du ma'ang min //	91.94558077861849
na ca te saMhatAH yasmAt paramANuH na siDyati	de dag 'dus pa'ang ma yin te // 'di @7a * // ltar rdul phran mi 'grub phyir //	85.58193128056631
iti  kim uktam Bavati	ji skad du bstan par 'gyur zhe na /	80.3995430469513
yat tad rUpa Adikam Ayatanam rUpa Adi vijQaptInAm pratyekam vizayaH syAt tat ekam vA syAt yaTA avayavi rUpam kalpyate vESezikEH	gang gzugs la sogs pa'i skye mched gzugs la sogs ba rnam par rig pa so so'i yul yin du zin na de ni gcig pu zhig yin te / ji ltar bye brag pa rnams kyis cha shas can gyi ngo bor brtag pa'i lta bu'am /	87.3641980601005
anekam vA paramANuSaH saMhatAH vA te eva paramANavaH	rdul phra rab du ma'am rdul phra rab de dag nyid 'dus pa zhig tu 'gyur grang na /	92.85850627629345
na tAvat ekam vizayaH Bavati avayaveByaH nyasya avayavi rUpasya kvacid api agrahaNAt	gcig pu de ni yul ma yin te / cha shas rnams las gzhan pa cha shas can gyi ngo bo gang la'ang mi 'dzin pa'i phyir ro //	89.11799731179912
na api anekam paramANUnAm	du ma'ang yul ma yin te /	77.87791109085083
pratyekam agrahaNAt	rdul phra rab so so la mi 'dzin pa'i phyir ro //	72.42037161191305
na api te saMhatAH vizayIBavanti	de dag 'dus pa yang yul ma yin te /	76.39943402154104
yasmAt paramANuH ekam dravyam na siDyati	'di ltar rdul phra rab rdzas gcig tu mi 'grub pa'i phyir ro //	83.10795948722517
kaTam na siDyati  yasmAt	ji ltar mi 'grub ce na 'di ltar //	91.69419937975266
zawkena yugapad yogAt paramANoH zaz aMSa tA	drug gis cig car sbyar bas na // phra rab rdul cha drug tu 'gyur //	84.67481508481542
zaxByaH digByaH zaxBiH paramANuBiH yugapad yoge sati paramANoH zaz aMSa tA prApnoti	phyogs drug nas rdul phra rab drug gis cig car du sbyar na ni rdul phra rab cha drug tu 'gyur te /	82.3716528257281
ekasya yaH deSaH tatra anyasya asaMBavAt	gcig gi go gang yin pa der gzhan mi 'byung ba'i phyir ro // drug po dag kyang go gcig na // gong bu rdul phran tsam du 'gyur //	78.0168874974264
zaNNAm samAna deSa tvAt piNxaH syAt aNu mAtrakaH aTa yaH eva ekasya paramANoH deSaH saH eva zaNNAm	ji ste rdul phra rab gcig gi go gang yin pa de nyid du drug po rnams kyi go yang yin na ni des na thams cad go gcig pa'i phyir gong bu thams cad rdul phra rab tsam du 'gyur te /	87.63669441542538
tena sarvezAm samAna deSa tvAt sarvaH piNxaH paramANu mAtraH syAt paraspara avyatirekAt iti na kaScid piNxaH dRSyaH syAt	phan tshun tha dad pa med pa'i phyir gong bu gang yang snang bar mi 'gyur ro 'gyur te / // kha che'i bye brag tu smra ba rnams nyes pa 'di 'byung du 'ong ngo zhes 'gyur te / // te /	77.50090196884103
na eva hi paramANavaH saMyujyante niravayava tvAt mA BUt eza doza prasaFgaH	rdul phra rab rnams ni cha shas med pa'i phyir spyor ba ma yin 'gyur te / // te / gyi /	81.48136282320371
saMhatAH tu parasparam saMyujyante iti kASmIra vEBAzikAH te idam prazwavyAH	'dus pa dag ni phan tshun sbyor ro zhes zer ba de dag la 'di skad du /	75.4872196920893
yaH paramANUnAm saMGAtaH na sa teByaH rTa antaram iti	rdul phra rab rnams 'dus pa gang yin pa de de dag las don gzhan rnams ma yin no zhes brjod par bya'o //	88.92327733506086
paramANoH asaMyogAt tad saMGAte sti kasya saH	rdul phran sbyor ba med na ni // de 'dus yod pa de gang gis //	86.21920471279358
saMyogaH iti vartate	sbyor ba zhes bya bar bsnyegs so //	83.5659509726933
na ca anavayava tvena tad saMyogaH na siDyati	cha shas yod ba ma yin pas // de sbyor mi 'grub ma zer cig /	78.05169673399018
aTa saMGAtAH api anyonyam na saMyujyante	ji ste 'dus pa dag kyang phan tshun mi sbyor ro zhe na /	83.35597150666374
na tarhi paramANUnAm niravayava tvAt saMyogaH na siDyati iti vaktavyam sAvayavasya api hi saMGAtasya saMyoga anaByupagamAt	rdul phra rab rnams ni cha shas med pa'i phyir sbyor ba mi 'grub bo zhes ma zer cig 'dus pa cha shas dang bcas pa yang sbyor bar khas mi len pa'i phyir ro //	84.35390933808047
tasmAt paramANuH ekam dravyam na siDyati	de bas rdul phra @7b rab rdzas gcig pu mi 'grub bo //	92.82392250816777
yadi ca paramANoH saMyogaH izyate yadi vA na izyate	rdul phra rab sbyor bar 'dod kyang rung mi 'dod kyang rung ste /	82.14405737162633
digBAga BedI yasya asti tasya ekatvam na yujyate	gang la phyogs cha tha dad yod // de ni gcig tu mi rung ngo //	82.05109943859509
anyaH hi paramANoH pUrva diS BAgaH yAvat aDas diS BAgaH iti diS BAga Bede sati kaTam tad Atmakasya paramANoH eka tvam yokzyate CAyA AvRtI kaTa vA	rdul phra rab kyi shar phyogs kyi cha yang gzhan pa nas 'og gi cha'i bar du yang gzhan te / phyogs kyi cha tha dad na de'i bdag nyid kyi rdul phra rab gcig pur ji ltar rung /	81.37915809398454
yadi ekEkasya paramANoH diS BAga BedaH na syAt Aditya udaye kaTam anyatra CAyA Bavati anyatra AtapaH	sgrib dang sgrib par ji ltar 'gyur // gal te rdul phra rab re re la phyogs kyi cha tha dad pa med na ni nyi ma shar ba'i tshe ngos gzhan na ni grib ma 'bab par ji ltar 'gyur te /	91.78974483316156
na hi tasya anyaH pradeSaH sti yatra AtapaH na syAt	de la ni gang du nyi ma mi 'bab pa'i phyogs gzhan med do //	80.78118078508211
AvaraNam ca kaTam Bavati paramANoH paramANu antareNa yadi diS BAga BedaH na izyate	gal te phyogs kyi phyogs tha dad par mi 'dod na rdul phra rab la rdul phra rab gzhan gyis sgrib par yang ji ltar 'gyur /	91.62336840279306
na hi kaScid api paramANoH para BAgaH sti yatra AgamanAt anyena anyasya pratiGAtaH syAt	rdul phra rab gang la yang cha shas gzhan med na gang du 'ong ba'i phyogs la gcig la gcig thogs par 'gyur /	80.95847376476276
asati ca pratiGAte sarvezAm samAna deSa tvAt sarvaH saMGAtaH paramANu mAtraH syAt iti uktam	thogs pa med na ni thams cad go gcig tu gyur pas 'dus pa thams cad rdul phra rab tsam du 'gyur te /	81.08348559984748
kim evam na izyate piNxasya te CAyA AvRtI na paramANoH iti	de ni bshad zin to // grib ma dang sgrib pa rdul phra rab kyi ma yin yang / ci gong bu'i yin pa de ltar yang mi 'dod dam /	89.22493825115606
kim Kalu paramANuByaH nyaH piNxe izyate yasya te syAtAm  na iti Aha	rdul phra rab rnams la gong bu gzhan zhig yin par 'dod dam ci na de dag de'i yin / smras pa /	87.27379157701934
anyaH na piNxaH ced na tasya te	yin no // gong bu gzhan min de de'i min //	78.96117947215126
yadi na anyaH paramANuByaH piNxaH izyate na te tasya iti sidDam Bavati	gal te rdul phra rab rnams las gong bu gzhan ma yin na de dag de'i ma yin par grub pa yin no // yongs su rtogs pa 'di ni gnas pa'i khyad par te /	86.89721910943366
saMniveSa parikalpaH ezaH paramANuH saMGAtaH iti vA	gzugs la sogs pa'i mtshan nyid ni ma bkag na rdul phra rab ce'am /	71.65385665514523
kim anayA cintayA lakzaNam tu rUpa Adi yadi na pratiziDyate	'dus ba zhes bsam pa 'dis ci zhig bya zhe na /	76.24214838865136
