	@214a rgya gar skad du / a'a yu pa ryanta s'u tra / bod skad du / tshe'i mtha'i mdo / dkon mchog gsum la phyag 'tshal lo // 'di skad bdag gis thos pa dus gcig na /	10.0
aSIti varza sahasra AyuzaH pi gbm varza Sata AyuzaH pi daSa varza AyuzaH pi	tshe lo brgyad khri pa dang / tshe lo brgya pa dang / tshe lo bcu par yang 'gyur ro // dge slong dag /	85.55051579605123
ApH  etarhi BikzavaH jAmbUdvIpakAnAm manuzyANAm varza Satam AyuzaH pramANam etarhi BikzavaH jAmbUdvIpakAnAm manuzyANAm gbm yaH ciram jIvati sa varza Satam kiMcid vA BUyas samyak suKena parihRyamANaH ApH  varza Satam Kalu BikzavaH jIvam daSa avasTAH pratyanuBavati praTamAyAm avasTAyAm gbm	dzambu'i gling gi mi rnams kyi da ltar gyi tshe'i tshad ni lo brgya pa yin no // dge slong dag / da ltar ni dzambu'i gling gi mi rnams las ring du 'tsho ba gang yin pas legs par bde bar gnas na lo brgya'am / lo brgya las cung zad cig lhag par thub bo // dge slong dag / 'tsho ba'i gnas skabs ni bcu myong bar 'gyur te /	66.62779323492097
bAlaH Bavati mandaH uttAna SAyI dvitIyAyAm avasTAyAm kumAraH Bavati krIxana jAtIyaH tRtIyAyAm avasTAyAm yuvA Bavati kAma BogI caturTI avasTAyAm gbm	gnas skabs dang po ni zhan cing gan rkyal du nyal pa ste byis pa yin no; ;gnas skabs gnyis pa ni rtse ba'i rang bzhin can te gzhon nu yin no // gnas skabs gsum pa ni 'dod pa la spyod pa ste / lang tsho la bab pa yin no // gnas skabs bzhi pa ni spro ba dang ldan zhing nyams stobs dang ldan pa yin no //	83.00926234541578
balavAn Bavati utsAhI paMcamyAm avasTAyAm prajQaH Bavati pratiBAnavAn zazWyAm	gnas skabs lnga pa ni stobs dang ldan zhing shes rab dang ldan pa yin no //	77.00148502295998
avasTAyAm smRtimAn Bavati mImAMsana jAtIyaH saptamyAm avasTAyAm sTitaH Bavati manAH gbm	gnas skabs drug pa ni dpyod pa'i rang bzhin can te dran pa dang ldan pa yin no // gnas skabs bdun pa ni chos lugs khong du chud pa yin no //	79.31823217305855
prAptaH azWamyAm avasTAyAm sTaviraH Bavati rAjanyaH navamyAm avasTAyAm	gnas skabs brgyad pa ni rgyal pos bkur zhing rgan rabs su bkur ba yin no //	73.35041514608264
vRdDaH Bavati jarA jIrNaH daSamyAm avasTAyAm gatAyuH Bavati maraNa parAyaNaH varza Satam gbm	@217a *// gnas skabs dgu pa ni rgas shing 'khogs pa ste rgan po yin no // gnas skabs bcu pa ni tshe'i mthar thug pa ste 'chir nye ba yin no // dge slong dag /	75.39115009239018
Kalu BikzavaH jIvam iha daSa avasTAH pratyanuBavati	lo brgyar 'tsho bas gnas skabs bcu po de dag myong bar 'gyur ro //	73.25358571627194
ApH  varza Satam Kalu BikzavaH jIvan trINi Rtu SatAni jIvati Rtu Satam hemantAnAm Rtu Satam grIzmANAm gbm	dge slong dag / lo brgyar 'tsho ba ni dus tshigs sum brgyar 'tsho ste / dgun gyi dus tshigs brgya dang / dpyid kyi dus tshigs brgya dang / dbyar gyi dus tshigs brgya rnams so //	79.81635132018144
Rtu Satam varzANAm trINi Rtu SatAni jIvan dvAdaSa mAsa SatAni jIvati catvAri hemantAnAm	dus tshigs sum brgyar 'tsho ba ni zla ba bcu gnyis phrag brgyar 'tsho ba ste /	75.30012487266674
catvAri grIzmANAm	dgun bzhi dang / dpyid bzhi dang / dbyar bzhi rnams so //	76.94355338079887
catvAri varzANAm dvAdaSa mAsa SatAni gbm jIvam caturviMSatim arDa mAsa SatAni jIvati azwO hemantAnAm	zla ba bcu gnyis phrag brgyar 'tsho ba ni zla ba phyed nyis stong bzhi brgyar 'tsho ste /	78.81056916556615
azwO grIzmANAm	dgun brgyad dang / dpyid brgyad dang / dbyar brgyad rnams so // zla ba phyed nyis stong bzhi brgyar 'tsho ba ni /	67.44265503397992
azwO varzANAm caturviMSatim arDa mAsa SatAni jIvam zawtriMSatam rAtriMdivasa sahasrANi gbm jIvati dvAdaSa hemantAnAm	nyin zhag sum khri drug stong du 'tsho ste /	56.316306110695955
dvAdaSa grIzMANAm dvAdaSa varzANAm	dgun bcu gnyis dang / dpyid bcu gnyis dang / dbyar bcu gnyis rnams so //	80.4832473774027
ApH  zawtriMSatam rAtriMdivasa sahasrANi jIvan dvAsaptatim Bakta sahasrANi BuMkte sArDam gbm	nyin zhag sum khri drug stong du 'tsho ba ni bar chad du gyur pa ma gtogs par zan bdun khri nyis stong za'o //	83.2641035916941
Bakta antarAyEH tatra ime Bakta antarAyAH kupitaH pi na BuMkte duHKitaH pi na BuMkte	de la 'di dag ni zan bar chad du 'gyur ba yin te /	47.67952695808168
kRcCra prAtaH pi na BuMkte panaH pi na BuMkte laBamAnaH pi na BuMkte gbm alaBamAnaH pi na BuMkte suptaH pi na BuMkte mattaH pi na BuMkte pramattaH pi na BuMkte	'khrugs nas ma zos pa dang / sdug bsngal bar gyur pas ma zos pa dang / phongs pa byung nas ma zos pa dang / bsnyungs pa byas te ma zos pa dang / ma rnyed pas ma zos pa dang / rnyed kyang ma zos pa dang / @217b gnyid log nas ma zos pa dang / ra ro ste ma zos pa dang / rab tu myos pas ma zos pa ste /	60.120708050348185
iti yaH ca BuMkte yaH ca na BuMkte tat EkaDyam aBisaMkzipya dvAsaptatiH Bakta sahasrANi Bavanti gbm sArDam mAtu stanya pAnena	zos pa gang yin pa dang / ma zos pa gang yin pa de dag gcig tu bsdoms na ma'i nu zho 'thung ba ma gtogs par za ma bdun khri nyis stong du 'gyur ro //	75.05580628472586
ApH  iti hi BikzavaH mayA jAmbUdvIpakANAm manuzyANAm AyuH api AKyAtam RtavaH pi mAsAH api arDa mAsAH api rAtriMdivasAni api BaktAni api gbm Bakta antarAyANi api AKyAtA	dge slong / de ltar ngas dzambu'i gling gi mi rnams kyi tshe 'ang bshad / dus tshigs dang / zla ba dang / zla ba phyed pa dang / nyin zhag dang; zan dang / zan bar chad du gyur pa'ang bshad pa yin no //	75.90863671499648
ApH  yAni BikzavaH manuzyANAm paMcASat varzANi tat cAturmahArAjikAnAm devAnAm ekam rAtriMdivasam	dge slong dag / mi rnams kyi tshe lo lnga bcu gang yin pa de ni rgyal chen bzhi'i ris kyi lha rnams kyi nyin zhag gcig go /	88.0245129240815
tena rAtriMdivasena triMSat rAtrakena gbm	de sum cu la zla ba gcig /	60.462063862727234
mAsena dvAdaSa mAsakena saMvatsareNa	zla ba bcu gnyis la lo gcig ste /	74.20138844576749
tayA saMvatsara gaNanayA divyAni paMca varza SatAni cAturmahArAjikAnAm devAnAm AyuzaH pramANam gbm tat Bavati mAnuzikayA gaNanayA navati varza Sata sahasrANi AyuzaH pramANam	rgyal chen bzhi'i ris kyi lha rnams kyi tshe'i tshad ni lo de lta bur brtsis pa'i lha'i lo lnga brgya ste / de mi'i lo ltar brtsis na lo sa ya phrag dgu yod de /	69.33271099682547
asti antareNa kAla kriyA	bar ma dor 'chi ba ni yod do //	68.30106807524157
ApH  tat Bavati saMjIve mahA narake ekam rAtriMdivasam gbm	de ni sems can dmyal ba chen po yang sos kyi nyin zhag gcig go /	74.9713922778081
tena rAtriMdivasena triMSat rAtrakeNa mAsena	nyin zhag de sum cu la zla ba gcig /	72.68901072608101
dvAdaSa mAsakena saMvatsareNa	zla ba bcu gnyis la lo gcig ste /	80.50175043308374
tayA saMvatsara gaNanayA paMca varza SatAni saMjIve mahAnarake nArakANAm gbm	sems can dmyal ba chen po yang sos kyi sems can dmyal ba rnams kyi tshe chad ni lo de lta bu brtsis pa'i lo lnga brgya ste /	82.17641656751586
satvAnAm AyuzaH pramANam tat Bavati mANuzikayA gaNanayA ekam varza kowI Sata sahasram dvAzazwINi ca varza kowI sahasrANi AyuzaH pram	de mi'i ltar brtsis na lo bye ba phrag 'bum drug khri nyis stong yod de /	64.3502717160721
asti antareNa gbm  kAla kriyA	bar ma dor 'chi ba ni yod do //	67.85486616626862
ApH  aTa BagavAn tasyAm velAyAm gATAH BAzate	de nas bcom ldan 'das kyis de'i tshe tshigs su bcad de bka' stsal pa / lus kyis nyes par spyad byas shing // ngag gis nyes par @218a *//	87.9471516684216
kAya duScaritam kRtvA vacaH duScaritAm iva x x x x    x x x x x    x saMjIve upapadyante gbm	spyad pa dang // yid kyis nyes par spyad byas shing // gang zhig nyes pa gzhan ldan pa'i // las de dag gis yang sos kyi //	63.2974226007478
narake tena karmaNA	dmyal ba dag tu skye 'gyur te //	62.47044348716736
varza kowI sahasrANi saMjIvanti hatAH hatAH	lo ni bye ba phrag stong du // gtags shing bcom yang yang 'tsho'o //	82.70731749662497
anyonya vEra saMsaktAH narAH puruza GAtakAH	phan tshun kho na dag chags pa yis // mi rnams gsod pa'i mi dag ni // las de dag gis yang sos kyi //	84.41712380254258
saMjIve upapadyante narake tena karmaNA	dmyal ba dag tu skye bar 'gyur // dge slong dag /	79.5413584903795
ApH  yat BikzavaH gbm manuzyANAm varza Satam tat devANAm trayastriMSAnAm ekam rAtriMdivasam	mi rnams kyi lo brgya gang yin pa de ni sum cu rtsa gsum pa'i lha rnams kyi nyin zhag gcig go /	83.32621928011756
tena rAtriMdivasena triMSat rAtrakeNa mAsena	nyin zhag de sum cu la zla ba gcig go /	73.26787023055248
dvAdaSa mAsakena saMvatsareNa tayA saMvatsara gaNanayA gbm	zla ba bcu gnyis la lo gcig ste /	62.62152879165881
divyam varza sahasram devAnAm trayastriMSAnAm AyuzaH pramANam tat Bavati mAnuzikayA gaNanayA tisraH varza kowyaH zazwiH ca varzaSagbm AyuzaH pramANam	sum cu rtsa gsum gyi lha rnams kyi tshe'i tshad ni lo de lta bur brtsis pa'i lha'i lo stong thub bo // de mi'i ltar brtsis na lo bye ba phrag gsum dang / sa ya phrag drug yod de /	83.64776974896229
asti antareNa kAla kriyA	bar ma dor 'chi ba ni yod do //	68.30106807524157
ApH  tat Bavati kAlasUtre mahAnarake ekam rAtriMdivasam	de ni sems can dmyal ba chen po thig nag gi nyin zhag gcig go /	76.53012300032267
tena rAtriMdivasena triMSat rAtrakeNa mAsena gbm	nyin zhag de sum cu la zla ba gcig go /	69.7018554027264
dvAdaSa mAsakena saMvatsareNa	zla ba bcu gnyis la lo gcig ste /	80.50175043308374
tayA saMvatsara gaNanayA varza sahasram kAlasUtre mahAnarake nArakANAm satvAnAm AyuzaH pramANam tat Bavati mAnuzikayA gbm	sems can dmyal ba chen po thig nag gi tshe'i tshad ni lo de lta bur brtsis pa'i lo stong thub bo //	69.61441344433004
gaNanayA dvAdaSa varza kowI Sata sahasrANi zaz navatiH ca varza kowI sahasrANi AyuzaH pramANam	de mi'i ltar brtsis na lo bye ba phrag sa ya nyis 'bum dgu khri drug stong rtsa bcu gnyis yod de /	83.84904539114352
asti antareNa kAla kriyA	dus ma yin par 'chi ba ni yod do //	69.84286481993539
ApH  aTa BagavAn tasyAm velAyAm gbm gATe BAzate	de nas bcom ldan 'das kyis de'i tshe tshigs su bcad de bka' stsal pa /	87.91743439324033
mAtA pitRzu ye drugDAH budDezu SrAvakezu ca	pha ma dag dang sangs rgyas dang // nyan @218b thos rnams la 'khu byed pa //	84.73020206212578
kAlasUtra upapannAH te duHKAH vindanti vedanA aDura x    x puruzAH mitra BedakAH kAlasUtram prapannAH gbm te x cakAH nyatikAH mRzAH	de dag thig nag skye 'gyur te // sdug bsngal tshor ba myong bar 'gyur // gang zhig mi brtson 'jog pa dang // mi rnams mdza' ba'i dbyen byed pa // thig nag tu ni skye bar 'gyur // brdzun smra ba yang de bzhin te // las de yis ni thig nag gi /	78.71840399151296
kAlasUtram prapannAH te narakam tena karmaNA	dmyal ba rnams su de dag skye //	67.22588992118835
ApH  yat BikzavaH manuzyANAm dve varza Sate tat yamAnAm devANAm ekam rAtriMdivasam tena rAtriMdivasena gbm	dge slong dag / mi rnams kyi lo nyis brgya gang yin pa de ni 'thab bral gyi lha rnams kyi nyin zhag gcig go /	78.13061766917713
triMSat rAtrakeNa mAsena	nyin zhag de sum cu la zla ba gcig /	82.13298257191975
dvAdaSa mAsakena saMvatsareNa	zla ba bcu gnyis la lo gcig ste /	80.50175043308374
tayA saMvatsara gaNanayA divye dve varza sahasre yamAnAm devAnAm AyuzaH pramANam tat Bavati mAnuzikayA gbm	'thab bral ba'i lha rnams kyi tshe'i tshad ni lo de lta bur brtsis pa'i lha'i lo nyis stong thub bo //	77.83348708585385
gaNanayA caturdaSa varzakowyaH catvAriMSat ca varza Sata sahasrANi AyuzaH pramANam	de mi'i ltang brtsis na lo bye ba phrag bcu bzhi dang / lo khri bzhi stong yod de /	86.56048368160609
asti antareNa kAla kriyA	bar ma dor 'chi ba ni yod do //	68.30106807524157
ApH  tat Bavati saMGAte mahA narake ekam rAtriMdivasam gbm	de ni sems can dmyal ba chen po bsdus 'joms kyi nyin zhag gcig go /	73.89751633546896
tena rAtriMdivasena triMSat rAtrakeNa mAsena	nyin zhag de sum cu la zla ba gcig /	72.68901072608101
dvAdaSa mAsakena saMvatsareNa	zla ba bcu gnyis la lo gcig ste /	80.50175043308374
tayA saMvatsara gaNanayA dve varza sahasre saMGAte mahAnarake nArakANAm gbm	sems can dmyal ba chen po bsdus 'joms kyi sems can dmyal ba rnams kyi tshe'i tshad ni lo de lta bur brtsis pa'i lo nyis stong yod de /	80.35461803757349
satvAnAm AyuzaH pramANam tat Bavati mAnuzikayA gaNanayA eka varza kowINAm kowiH triNI ca varza kowI Sata sahasrANi azwAzazwINi ca vaAyuzaH gbm pramANam asti antareNa kAla kriyA	de mi'i ltar brtsis na lo bye ba phrag sum 'bum drug khri brgyad stong rtsa gcig yod de / bar ma dor 'chi ba ni yod do //	59.61003069610179
ApH  aTa BagavAn tasyAm velAyAm gATe BAzate	de nas bcom ldan 'das kyis de'i tshe tshigs su bcad de bka' stsal pa / mi dge'i las rnam gsum byas shing //	88.65951731154347
triviDam akuSalam kRtvA akRta x  x  x	las dge rnam gsum ma byas te // las de dag gis bsdus 'joms kyi //	66.21753215361323
saMGAtaH upapadyante narake tena karmaNA	dmyal ba dag tu skye @219a *// bar 'gyur //	75.16947808376578
gbm  balAkAn aja mahizAn mRgAn kukuwa sUkarAn taTA anyAn prANinaH hatvA saMGAte upapadyate	ba lang ra lug ma he dang // ri dvags bya gag phag rnams dang // de bzhin srog chags gzhan gsod pa // bsdus gzhom dag tu skye bar 'gyur // dge slong dag /	71.57337227276767
ApH  yAni BikzavaH manuzyANAm catvAri varza SatAni tAni tuzitAnAm devAnAm ekam rAtriMdivasam gbm rAtriMdivasena triMSat rAtrakeNa mAsena	mi rnams kyi lo bzhi brgya gang yin pa de dga' ldan gyi lha rnams kyi nyin zhag gcig go / nyin zhag de sum cu la zla ba gcig /	70.68581191293526
dvAdaSa mAsakena saMvatsareNa	zla ba bcu gnyis la lo gcig ste /	80.50174447261927
tayA saMvatsara gaNanayA divyAni catvAri varza sahasrANi tuzitAnAm devAnAm AyuzaH gbm	dga' ldan gyi lha rnams kyi tshe'i tshad ni lo de lta bur brtsis pa'i lha'i lo bzhi stong thub ste /	82.93968382609684
