	@1b # // rnal 'byor spyod pa'i sa las nyan thos kyi sa /bam po dang po / dkon mchog gsum la phyag 'tshal lo // nyan thos kyis thams cad kyi bsdus pa'i [dd] sdom gyi tshigs su bcad pa ni / rigs dang gang zag rnams dang ni // nges par sbyor dang 'jig rten pa // 'jig rten 'das pa 'di la ni // mdor na sa ni 'di dag go // sdom ni / rigs dang 'jug dang nges 'byung ba'i // ming du byas pa'i sa gsum mo // de dag rnams ni mdor bsdu na //	10.0
yaTA api ihE katyaH maDyezu janapadezu pratyAjAtaH Bavati pUrvavat yAvat yatra gatiH sat puruzANAm iyam ucyate Arya Ayatane pratyAjAtiH SBsh	'di ltar 'di na la la snga ma bzhin du gong du skyes bu dam pa'i bar dag 'gro ba'i yul dbus kyi mi rnams su skyes pa yin te / de ni yul dbus su skyes pa zhes bya'o //	76.49997584873141
indriyEH avikala tA katamA	dbang po ma tshang ba med pa gang zhe na /	86.21658920106434
yaTA api iha ekatyaH ajAtaH Bavati anexakaH iti vistaraH aMga pratyaMga avikalaH vA yad rUpeNa aMpratyaMgA vEkalyena Srotra avEkalya Adikena BavyaH kuSala pakza samudAgamAya	'di ltar 'di na la la glen pa ma yin zhing dig pa dang lkugs pa ma yin pa'i bar du rgyas par gyur pa dang / yan lag dang nying lag mtshang ba med par gyur cing rna ba tshang ba med pa la sogs pa yan lag dang nyid lag ma tshang ba med pa gang gis dge ba'i phyogs yang dag par bsgrub pa'i skal pa yod pa yin te /	83.08925060864422
idam ucyate indriyAH vEkalyam	de ni dbang po ma tshang ba med pa zhes bya'o //	89.19045027097067
Ayatana gataH prasAdaH katamaH	gnas la dad par gyur pa gang zhe na // 'di ltar 'di na la las de bzhin gshegs @4a * //	80.55737410929964
yaTA api iha ekatyena taTAgata pravedite Darma vinaye SradDA pratilabDA Bavati cetasaH prasAdaH	bas gsungs pa'i chos 'dul ba la dad pa dang / sems dang ba thob par gyur pa yin te /	77.11772346647412
ayam ucyate Ayatana gataH prasAdaH tad Ayatanam taTAgata praveditaH Darma vinayaH sarvezAm lOkika loka uttarANAm Sukla DarmANAm utpattaye yA punar atra SradDA tena pUrva gamena ADipatyena saH Ayatana gataH prasAdaH	de ni gnas la dad par gyur pa zhes bya'o // de la gnas zhes bya ba ni de bzhin gshegs pas gsungs pa'i chos 'dul ba la bya ste / 'jig rten dang 'jig rten las 'das pa'i dkar po'i chos thams cad skye ba'i gnas yin pa'i phyir ro // des sngon du drangs pa'i dbang gis de la dad pa gang yin pa de ni gnas pa dad par gyur pa yin te /	84.55237671731773
sarva kleSa mala kAluzya apanayanAH aparivRtta karmAnta tA yena paMcAnAm AnantaryANAm karmaNAm	nyon mongs pa'i dri ma dang rnyog pa thams cad dang bral ba'i phyir ro // las kyi mtha' ma la log pa gang zhe na / gang gi tshe 'di nyid la mtshams med pa'i las lnga po 'di lta ste /	88.82004117399053
tat yaTA mAtR vaDAt pitR vaDAt arhat vaDAt saMGa BedAt taTAgatasya antike duzwa citta rucira utpAdAt anyatama anyatamat Anantaryam karma dRzwaH eva Darme na kRtam Bavati na aDyAcaritam iyam ucyate	ma gsod pa dang / pha gsod pa dang / dgra bcom pa gsod pa dang / dge 'dun gyi dbyen byed pa dang / de bzhin gshegs pa la ngan sems kyis khrag 'byin pa dag las mtshams med pa'i las gang yang rung ba ma byas shing byed du ma bcug pa yin te /	73.27737168385048
aparivRtta karmAnta tA	de ni las kyi mtha' ma log pa zhes bya'o //	75.53398150621459
iti imAni paQca AnantaryANi karmANi kRta upacitAni dRzwaH eva Darme parivartya aBavyaH Bavati parinirvANAya Arya mArgasya utpattaye tasmAt etAni parivRtta karmAnta tA iti ucyate svayam eva anena saH Atma BAvaH eBiH paQcaBiH aFgEH sampAditaH Bavati tasmAt Atma sampad iti ucyate	tshe 'di nyid la mtshams med pa'i las lnga po de dag byas shing bsags la yongs su ma spangs na yongs su myang ngan las 'da' zhing 'phags pa'i lam skyed pa'i skal ba med pas na de'i phyir de dag ni las kyi mtha' log pa zhes bya'o // des bdag nyid kyi lus yin te yan lag lnga po de dag gis 'byor par byed pas na de'i phyir bdag gi 'byor pa zhes bya'o //	68.19314976779532
SBsh para sampad katamA	gzhan gyi 'byor ba gang zhe na /	80.97734785079956
tat yaTA budDAnAm utpAdaH sadDarma deSana AdeSitAnAm DarmANAm avasTAnam avasTitAnAm ca anupravarttanam paratas ca pratyanukampA	'di lta ste sangs rgyas rnams 'byung ba dang / dam pa'i chos ston pa dang / chos bstan pa rnams gnas pa dang / chos gnas pa rnams rjes su 'jug pa dang / gzhan gyi phyir rjes su snying brtse bar byed pa'o //	92.71793964131747
tatraH budDAnAm utpAdaH katamaH	de la sangs rgyas rnams 'byung ba gang zhes na /	90.6207050482432
yaTA api iha ekatyaH sarva sarva satvet tve zu kalyANam hita aDyASayam utpAdya praBUtEH duzkara sahasrEH mahatA ca puNya jQAna samBAreNa  Atma BAva pratilamBe boDimaNxe nizadya	'di ltar 'di na la la sems can thams cad la dge legs dang phan pa'i bsam pa bskyed nas / dka' ba stong phrag mang po dang / bsod nams dang ye shes kyi tshogs chen pos bskal pa grangs med pa gsum gyis tha ma'i lus phyi ma thob nas byang chub kyi snying po la 'dug ste /	87.67314779429917
paQca nivaraNAni prahAya	sgrib pa lnga spangs nas /	88.65956585223857
caturzu smRti upasTAnezu su upasTita cittaH	dran pa nye bar gzhag pa bzhi la sems legs par gnas te /	90.68501261302403
saptatriMSat boDi pakzyAn DarmAn BAvayitvA anuttarAm samyaksaMboDim aBisaMbuDyate ayam ucyate budDAnAm utpAdaH	byang chub kyi phyogs kyi chos sum cu rtsa bdun @4b bsgoms nas / bla na med pa yang dag par rdzogs pa'i byang chub mngon par rdzogs par 'tshang rgya ba yin te / des ni sangs rgyas rnams 'byung ba zhes bya'o //	91.81092218174923
atIta anAgata pratyutpannezu aDvasu evam evA kleSaH A yA te evam budDAH BagavantaH loka	'das pa dang / ma 'ongs pa dang / da ltar byung ba'i dus rnams su yang sangs rgyas bcom ldan 'das thams cad de kho na bzhin du 'bung ba yin no // dam pa'i chos ston pa gang zhe na /	87.72929964566605
utpadya tasya eva ca SrAvaka loka anukampAm upAdAya catvAri Arya satyAni AraBya duHKa sadBiH ayaQca DarmaH niryAtaH	sangs rgyas bcom ldan 'das de dag nyid dang / de dag nyid kyis nyan thos rnams 'jig rten du byung nas / 'jig rten la rjes su thugs brtse ba'i phyir / 'phags pa'i bden pa bzhi po sdug bsngal dang / kun 'byung ba dang / 'gog pa dang / lam rnams las brtsams nas 'di lta bu ste / mdo'i sde dang / dbyangs kyis bsnyad pa'i sde dang / lung bstan pa'i sde dang / tshigs su bcad pa'i sde dang / ched du brjod pa'i sde dang / gleng gzhi'i sde dang / rtog pa brjod pa'i sde dang / de lta bu'i byung ba'i sde dang / skyes pa'i rabs kyi sde dang / shin tu rgyas pa'i sde dang / rmad du byung ba'i chos kyi sde dang / gtan la phab par bstan pa'i sde'i chos ston par mdzad pa yin te / de ni dam pa'i chos ston pa zhes bya'o //	19.23187998606344
deSitaH praSastaH budDEH ca budDa SrAvakEH ca ayam ucyate budDAnAm utpAdaH	chos 'di ni dam pa yang sangs rgyas rnams dang sangs rgyas kyi nyan thos rnams kyis brtags shing bstan pa'am bsngags pa yin pas de'i phyir dam pa'i chos te / de bshad pa gang yin pa de ni dam pa'i chos ston pa zhes bya'o //	80.8990730123523
deSitAnAm DarmANAm avasTAnam katamat deSite sadDarme	chos bstan pa rnams gnas pa gang zhe na / sangs rgyas bcom ldan 'das rnams 'tsho zhing gzhes la /	80.91921972906975
pravartite Darma cakre yAvat ca budDaH BagavAMvAn SBsh jIvati tizWati ca	chos kyi 'khor lo bskor te dam pa'i chos bstan pa nas /	69.16653442921714
parinirvRte ca budDe Bagavati yAvatA kAlena pratipattiH na hIyate sadDarmaH ca na antarDIyate	sangs rgyas bcom ldan 'das yongs su mya ngan las 'das pa'i bar gyi dus ji srid par sgrub pa mi nyams pa dang / dam pa'i chos mi nub pa yin te /	82.66657106182419
idam ucyate sadDarmasya avasTAnam yO= avasTAnam veditavyam	de ni dam pa'i chos gnas pa zhes bya'o //	65.84421811452727
avasTitAnAm DarmANAm anupravarttanam katamat	gnas pa de yang don dam pa'i chos mngan sum du bya ba'i tshul gyis yin par rig par bya'o // chos gnas pa rnams rjes su 'jug pa gang zhe na /	74.83128369152007
yattaH eva aDigantAraH sadDarmasya	dam pa'i chos rtogs pa gang yin pa de nyid kyis skye bo rnams la dam pa'i chos mngon sum du bya ba'i skal ba dang mthu yod par rig ga nas /	66.35533617559418
sadDarma sAkzAt kriyAyE BavyAm pratibala tAm jAnatAm viditvA yaTA aDigatAm eva anulomikImavavAda anuSAsanIm anupravarttayanti idam ucyate avaDarmANAm anupravarttanam	ji ltar rtogs pa kho na dang rjes su mthun @5a * // pas gdams shing rjes su bstan pa la rjes su 'jug par byed pa yin te / de ni chos gnas pa sna tshogs rjes su 'jug pa zhes bya'o //	74.24625284098842
paratas pratyanukampA katamA	gzhan gyi phyir rjes su snying brtse bar byed pa gang zhe na /	85.01925326931861
paratas ucyante dA yaka dAna patayaH te yAni tasya AnulomikAni jIvitaH paDAraNAni tEH pratyanukampate nte	gzhan zhes bya ba ni sbyin pa po dang sbyin bdag rnams te / de dag gis 'tsho ba'i yo byad rkyen du babs pa 'di lta ste /	82.41596725731132
yat uta cIvara piNxapAta Sayana Asana glAna pratyaya BEzajya parizkArEH iyam ucyate paratas pratyanukampA	chos gos dang / bsod snyoms dang / mal cha dang / stan dang / nad kyi gsos sman dang / yo byad gang yang rung ba de dag gi phyir rje su snying brtse bar byed pa yin te / de ni gzhan gyi phyir rjes su snying brtse bar byed pa zhes bya'o //	86.30117045186988
kuSalaH Darma= CandaH katamaH	dge ba'i chos la 'dun pa gang zhe na /	93.6773090111582
yaTA api iha ekatyaH taTAgatasya vA	'di ltar 'di na la la de bzhin gshegs pa'am /	73.13065756691827
taTAgata SrAvakasya vA antikAt Darmam SrutvA SradDAm pratilaBate sa tAm pratilaByaH idam saMSikzate saMbADaH gRhAvAsaH rajasAm AvAsaH	de bzhin gshegs pa'i nyan thos dag las chos thos shing dad pa thob par gyur la des de thos nas 'di ltar khyim na gnas pa ni gnod pa dang nyon mongs pa'i gnas yin gyi /	81.28859407923768
aByavakASam pravrajya yanvayan= va ham sarvam kaxala	rab tu byung ba ni mngon par skabs yod pa yin pas /	56.285524145964125
travargam Dana DAnya hiraNyam ca utsRjya su AKyAte Darma vinaye samyak eva agArAt anAgArikAm pravrajeyam pravrajitvA SBsh	'di ltar bdag gis bud med kyi tshogs dang nor dang 'bru dang dbyig thams cad spangs la / legs par gsungs pa'i chos 'dul ba la khyim med par legs pa kho nar rab tu 'byung bar bya zhing /	89.58987924150244
pravrajya ca pratipattyA sampAdayeyam iti	rab tu byung nas kyang nan tan gyis bsgrub par bya'o zhes de ltar yang dag par slob par byed pa yin te /	86.18743342953869
yaH evam utpannaH CandaH kuSalezu Darmezu ayam ucyate kuSalaH Darma CandaH cCandaH	de ltar dge ba'i chos rnams la 'dun pa skyes pa gang yin pa de ni dge ba'i chos la 'dun pa zhes bya'o //	90.49590807669067
pravrajyA katamA	rab tu byung ba gang zhe na /	81.79378833441899
yA tam eva kuSalam Darma= Candam aDipatim kRtvA jQapti caturTena vAkkarmaNA upasampat kuSalEH aSIHSI lasam AdAnam vA iyam ucyate pravrajyA	dge ba'i chos la 'dun pa de nyid kyi dbang du byas nas gsol ba dang bzhi'i las kyis bsnyen par rdzogs par byas pa dang / dge slong gi tshul khrims yang dag par blangs pa gang yin pa ste de ni rab tu byung ba zhes bya'o //	91.49784152303934
SIla sambaraH katamaH sa taTA pravrajitaH SIlavAn viharati	tshul khrims kyi sdom pa gang zhe na /	70.30991310822337
prAtimokza samvara saMvRtaH AcAra gocara sampannaH aNu mAtrezu avadye zu Baya darSI samAdAya Sikzate SikzA padezu	de ltar rab tu byung ba de tshul khrims dang ldan par gnas pa dang / so sor thar pa'i sdom pas bsdams pa dang / cho ga phun sum tshogs pa dang / spyod yul phun sum tshogs pa dang / kha na tho ba phra rab tsam dag la yang 'jigs par lta ba dang / bslab pa'i gzhi rnams yang dag par blangs shing slab [?] par byed pa yin te /	76.13790664909111
ayam ucyate SIla samvaraH	de ni tshul khrims kyi sdom ba zhes bya'o //	93.62527697736567
indriya samvaraH katamaH	dbang po sdom pa gang zhe na /	87.1538143157959
sa tam eva SIla samvaram niSritya arakzita smRtiH Bavati nipaka smRtiH	de tshul khrims kyi @5b sdom pa de nyid la brten nas /	75.53602159284127
smRti A rakzita mAnasaH sama avasTA avacArakaH sa cakzuzA rUpANi dRzwvA na nimitta grAhI Bavati	dran pa kun tu bsrungs pa dang / dran pa la rtag 'grus byed pa dang / dran pas yid kun tu bsrungs pa dang / gnas skabs mnyam pa la 'jog par byed cing des mig gis gzugs rnams mthong ba na mtshan mar mi 'dzin cing mngon rtags su mi 'dzin la /	82.64446061607362
na anuvyaMjana grAhI yatas aDikaraNama sya pApakA akuSalAH DarmAH cittam anusraveyuH tezAm samvarAya pratipadyate sa SrotreNa SabdAm bdAn	gzhi gang kho na las de'i sems kyi rjes su sdig pa mi dge ba'i chos rnams zag par gyur pa de dag bsdam par bya ba'i phyir sgrub par byed cing / mig gi dbang po yang srung byar byed la /	84.83626243199382
GrANena ganDAn jihvayA rasAn kAyena sprazwavyAni	mig gi dbang pos kyang sdom pa sgrub par byed pa dang / de rna bas sgra dag dang / snas dri dag dang / lces ro dag dang / lus kyis reg bya dag dang / yid kyis chos rnams rnam par shes pa na yang mtshan mar mi 'dzin cing /	70.05915354986567
manasA DarmAn vijQAya na nimitta grAhI Bavati na anuvyaMjana grAhI yatas aDikaraNam asya pApakA SBsh	mngon rtags su mi 'dzin la /	45.81500525874131
akuSalAH DarmAH cittam anusraveyuH tezAm samvarAH yaH pratipadyate	gzhi gang kho na las de'i sems kyi rjes su sdig pa mi dge ba'i chos rnams zag par 'gyur ba de dag bsdam par bya ba'i phyir sgrub par byed cing /	85.59463091720784
rakzati manaH indriyam manaH indriyeNa samvaram Apadyate	yid kyi dbang po yang srung bar byed la / yid kyi dbang pos kyang sdom pa sgrub par byed pa yin te /	90.96637823951697
ayam ucyate indriya samvaraH	de ni dbang po sdom ba zhes bya'o //	91.95534218682184
Bojane mAtra jQa tA katamA	zas kyi tshod rig pa nyid gang zhe na /	89.97212584813435
sa taTA saMvRta indriyaH pratisaMKyAya AhAram Aharati	de ltar dbang po bsdams pa de so sor brtags shing / zas za bar byed la /	91.25642596233556
na darpa arTam	rnam par rtog pa'i phyir ma yin /	77.92368959658074
na madArTam	rgyags pa'i phyir ma yin /	67.96564061825092
na maNxana arTam	sgeg pa'i phyir ma yin /	77.3745351632436
na viBUzaNa arTam yAvat eva asya kAyasya sTitaye	brgyan pa'i phyir ma yin gyi / 'di lta ste /	70.7245064648715
yApanAyE brahmacarya anugrahAya iti pOrANAm vedanAm prahAsyAmi navAm ca na utpAdayizyAmi yAtrA ca me Bavizyati balaMca suKam ca anavadyatA ca	lus 'di ni gnas par bya ba dang / 'tsho bar bya dang / bkres pa bsal bar bya ba dang / tshangs par spyad pa la phan bar bya ba dang / chor ba rnying pa rnams spang bar bya ba dang / gsar pa rnams mi skye bar bya ba'i phyir dang / bdag 'tsho zhing stobs dang bde ba dang / kha na ma tho ba med pa dang / bde ba la reg par gnas par yang 'gyur ro snyam du sems pa yin te /	75.45813257342382
sparSa vihAra tA ca iyam ucyate Bojane mAtra jQa tA	de ni zas kyi tshod rig pa nyid ces bya'o //	74.22096196087924
jAgarikA anuyogaH katamaH	nam gyi cha stod dang nam gyi cha smad la mi nyal bar sbyor ba'i rjes su brtson pa nyid gang zhe na /	68.97523570449884
sadivA caMkrama nizadyAByAm AvaraNIyeByaH SBsh	de ltar zas kyi tshod rig par gyur pa de nyin mo 'chag pa dang 'dug pa dag gis sgrib par 'gyur ba'i chos rnams las sems yongs su spyod bar byed cing mtshan mo'i thun dang po la yang 'chag pa dang @6a * //	64.17467694156666
DarmeByaH cittam pari SoDayati sa divA caMkrama nizadyAByAm AvaraNIyeByaH DarmeByaH cittam pariSoDya	'dug pa dag gis sgrib par 'gyur ba'i chos rnams las sems yongs su sbyor bar byed la / de yongs su sbyangs nas de'i 'og tu gtsug lag khang nas phyir byung ste /	91.48466664257677
tatas vihArAt nirgamya bahis vihArasya pAdO prakzAlya dakziNena pArSvena siMha SayyAm kalpayati Aloka saMjQI	gtsug lag khang gi phyi rol du rkang pa bkrus nas gtsug lag khang gi nang du zhugs te / glo g-yas ba phab nas rkang pa rkang pa'i steng du bzhag ste /	86.56452930260645
smRtaH saMprajAnan utTAna saMjQAm eva manasi kurvan sa rAtryAH paScime yAme laGu laGu eva prativibuDya	snang ba'i 'du shes dang / dran pa dang shes bzhin dang / ldang ba kho na'i 'di shes yid la byed bzhin du nyal bar byed pa dang / de mtshan mo'i thun tha ma la yang myur bas kho nar sad par byas nas /	89.13890956394123
caMkramanizadyAByAH mA AvaraNIyeByaH DarmeByaH cittam pariSoDayati iyam ucyate pUrvarAtra apararAtram jAgarikA anuyukta tA	'chag pa dang / 'dug bdag gis sgrib par gyur ba'i chos rnams las sems yongs su sbyong bar byed pa byin te / de ni nam gyi cha stod dang nam gyi cha stod dang nam gyi cha smad la mi nyal bar sbyor ba'i rjes su brtson pa nyid ces bya'o //	90.11634934605466
saMprajAnat vihAritA katamA	shes bzhin du spyod pa nyid gang zhe na /	93.5768479486791
sa taTA jAgarikA anuyuktaH atiBi krama pratikrame saMprajAnat vihArI Bavati Alokita vyavalokite sAmmin jita prasArite sa aMGa awIcIvara pAtra DAraNe aSita pIta KAdita svAdite SBsh nidrA klama vinodane gate sTite nizaNNe Sayite jAgRte BAzite tUzNImBAve samprajAnat vihArI Bavati	de ltar nyal bar sbyor ba'i rjes su brtson par 'gyur pa de 'gro ba dang ldog pa la shes bzhin du spyod par byed pa dang / cung zad bltas pa dang / rnam par bltas pa dang / bskum pa dang / brkyang ba dang snam sbyar dang / chos gos dang / lhung bzed bcang ba dang / zos dang / 'thungs pa dang / 'chos pa dang / myangs pa dang / song ba dang / sdod pa dang / 'dug pa dang / nyal ba dang / mi nyal ba dang / sbra ba dang / mi smra ba dang / gnyid kyis snyom pa bsang pa bsang ba la yang shes bzhin du spyod pa yin te /	78.26231153859935
iyam ucyate samprajAnat vihAritA	de ni shes bzhin du spyod pa nyid ces bya'o //	93.56151987158734
prAvivekyam katamat	rab tu dben par gnas pa gang zhe na /	76.84947701402612
saH eBiH DarmEH parikarma BUmim SoDayitvA viviktAni Sayana AsanAni aDyAvasati araNyAni	de chos de dag gis yongs su sbyong bar bya ba'i sbyangs nas gnas mal dben pa dgon pa dag gam /	81.6243898354997
vRkza mUlAni	shing drung dag gam /	70.92342434610639
SUnya AgArANi	khang stong dag gam / ri khrod dam / ri phug gam / rtsva khang ngam / bla ga ba med pa'am /	44.95632550683793
parvata kandara giri guhA palAla puMja aByavakASa SmaSAna vana prasTAni prAntAni Sayana Asana AdIni idam ucyate prAvivekyam	dur khrod dam / nags 'dab bam / bas mtha'i gnas mal dag tu gnas par byed pa yin te / de ni rab tu dben bar gnas pa zhes bya'o //	79.19319989494844
SBsh nivaraNa viSudDiH katamA	sgrib pa rnam par dag pa gang zhe na /	86.22167394035742
saH araNya gataH vA	de dgon pa na 'dug kyang rung /	91.88529240700505
vRkza mUla gataH vA	shing drung na 'dug kyang rung /	90.6869604587555
SUnya AgAra gataH vA	khang stong na 'dug kyang rung ste /	80.8258449766371
