	@289b rgya gar skad du / a'arya ma h'a san ni p'a ta ratna ke tu dh'a ra n'i n'a ma ma h'a y'a na s'u tra / bod skad du /'phags pa 'dus pa chen po rin po che tog gi gzungs zhes bya ba theg pa chen po'i mdo mdo; bam po dang po / de bzhin gshegs pa 'od zhi spos snang dpal la phyag 'tshal lo // tshangs pa chen po dbyangs can la phyag 'tshal lo // de la phyag btsas te bdud kyi 'khor gyis mi tshugs pa zhes bya ba'i zungs 'di sbyor bar bgyi'i / bdag gis rig sngags 'di grub par gyur cig / 'di lta ste / aa b'a me aa b'a me /	10.0
lABAye vadati iha SAkya tanayaH mA SradDayA gacCaTaH	rnyed phyir 'dir ni sh'akya'i bu yis smras kyi dad pas ma 'gro zhig /	87.45946477853266
aTa upatizya kOlitayoH etat aBUt	de nas nye rgyal dang / pang nas skyes gnyis ka 'di snyam du sems te /	88.9558127749283
mAraH vata ayam pApi imAn upasaMkrAntaH AvayoH pravrajyA vicCandana arTam	kye ma bdud sdig can bdag cag rab tu byung ba las bzlog @294a *//	78.41921656518296
aTa upatizyaH parAFmuKaH sva parizadam AhUya evam Aha	pa'i phyir 'ongs so // snyam nas de nas nye rgyal rgyab kyis phyogs te 'dug nas rang gi 'khor la bos te 'di skad ces smras so //	87.31484608664998
SruNata yUyam mANavakAH smarata saMsAra dozAn	bram ze'i khye'u khyod nyon cig 'khor ba'i skyon //	86.88091857293074
jarayA pIxitaH lokaH mRtyunA parivAritaH	dran par gyis la 'jig rten rga ba yis // gzir zhing 'chi bdag gis ni rab bskor ba //	85.38497511151353
uBayoH tad prahANAya pravrajyAm sADu gRhNaTa	de gnyis spang phyir rab byung legs par gzung //	86.44737299283346
aTa kOlitaH mAram provAca	de nas pang nas skyes kyis bdud la slar smras pa /	87.12525272369385
AjQAtaH pravaraH satAm matiDaraH DarmaH tri duHKa anta kRt	mkhas pa'i blo 'chang sdug bsngal gsum mthar phyin mchog chos rnams kun shes kyi //	90.27954768663395
kaScid na asti yadA AvayoH matim imAm vyuccAlayet sarvaTA	rnam pa kun tu bdag cag blo gros 'di las bskyod nus su yang med //	80.36665363797448
tRzNAyAH praSamAya DIra manasO AvAm sadA vyutTitO	sred pa rab zhi bya phyir bdag cag brtan pa'i yid kyis rtag tu 'bad //	83.77664073319309
mA siMha AkRtinA sRgAla vacanEH AvAm mateH BrAmaya	sengge'i gzugs can wa yi tshig gis nged kyi blo gros ma sgyur cig /	85.26103227336338
yAH ca devatAH dRzwa satyAH tAH gagana sTitAH tAByAm sat puruzAByAm sADu kAram kurumiya  pradaduH	bden pa mthong ba'i lha gang dag nam mkha' la 'dug pa de dag gis skyes bu dam pa de gnyis la legs so // zhes bya ba byin te /	86.0087651260411
sADu sADu sat puruzO sarva loka viSizwaH eza mArgaH yat uta pravrajyA nizkramaH	skyes bu dam pa khyed gnyis legs so; ;legs so // 'di lta ste / rab tu 'byung ba dang / mngon par 'byung ba 'di ni / 'jig rten thams cad las khyad par du 'phags pa'i lam yin te /	87.72828886302693
sarva duHKa upaSAntaH eza mArgaH	lam 'di ni / sdug bsngal thams cad zhi ba'o //	91.60348344885784
sarva taTAgata gocara avatAraH eza mArgaH	lam 'di ni / de bzhin gshegs pa thams cad kyi spyod yul la 'jug pa'o // 'di lta ste /	92.4880698223963
sarva budDEH BagavadBiH varNitaH praSastaH eza mArgaH yat uta pravrajyA nizkramaH iti	rab tu 'byung ba dang / mngon par 'byung ba 'di ni / @294b sangs rgyas bcom ldan 'das de dag thams cad kyis rab tu bsngags shing bstod pa'i lam mo //	91.74823438588717
aTa Kalu mAraH pApi imAn duHKitaH durmanAH vipratisArI tatra eva antarDAnam jagamA	de nas yang bdud sdig can sdug bsngal zhing yid mi bde ste yid la gcags nas de nyid du mi snang bar song ngo //	87.96320436154521
aTa Ka lu upatizya kOlitO parivrAjakO sva parizadam avalokayA eva evam UcatuH	de nas kun du rgyu nye rgyal dang / pang nas skyes gnyis kyis rang gi 'khor la bltas te 'di skad ces smras so // bram ze'i khye'u dag / nged ni /	90.6418288952892
yat Kalu mANavakAH yUyam jAnIDvam AvAm jarA maraNa sAgara pAraMgamAya taTAgatam uddiSya pravrajyAm saMprasTitO	rga ba dang / na ba dang / 'chi ba'i rgya mtsho'i pha rol tu 'gro bar bya ba'i phyir de bzhin gshegs pa la rab tu 'byung bar yang dag par chas kyi / khyed kyis shes par gyis shig /	86.77479002929593
yaH punar yuzmAkam na icCati BagavataH SAsane pravrajitum iha eva nivartatAm	khyed rnams las gang bcom ldan 'das kyi bstan pa la rab tu 'byung mi 'dod pa de ni / 'di nas phyir log gcig /	88.63892395460192
sarvANi ca tAni paMcamANavakAnAm SatAni evam AhuH	de nas bram ze'i khye'u lnga brgya po de dag thams cad kyis 'di skad ces smras so //	86.87214681798723
yat kiMcid vayam jAnImaH tat sarvam yuvayoH anuBAvena	bdag cag cung zad shes pa de kun kyang khyed kyi mthun /	76.11347822142923
nUnam yuvAm udAra sTAne pravrajitO	khyed rgya chen po'i gnas su rab tu 'byung na /	86.67416581701724
yam uddiSya pravrajitO yuvAm tam uddiSya vayam api pravrajizyAmaH	khyed gang las rab tu 'byung ba de las bdag cag kyang rab tu 'byung ngo //	86.67323024461949
aTa upatizya kOlitO parivrAjakO paMca Sata pari vArO BagavaMtam uddiSya pravrajyAm saMprasTitO viditvA aTa mAraH pApImAn bahi rAja gRhasya mahA nagarasya mahA prapAtam aBinirmitavAn yojana Satam aDastAt kurum iya yaTA tO na SakzyataH SravaNasya gOtamasya antikam upasaMkramitum iti	de nas kun tu rgyu nye rgyal dang / pang nas skyes g-yog lnga brgya dang bcas pa bcom ldan 'das las rab tu 'byung bar chas par bdud sdig can gyis rig nas ci nas de gnyis dge sbyong goo ta ma'i gan du 'gro mi nus par bya ba'i phyir rgyal po'i khab kyi grong khyer chen po'i phyi logs su g-yang sa chen po zabs su dpag tshad @295a *// brgya pa zhig sprul to //	77.17562236985133
BagavAn ca punar tAdRSam RdDi aBisaMskAram aBisan= cakAra yaTA tO upatizya kOlitO parivrAjakO tam mahA prapAtam na dadRSatuH	de nas bcom ldan 'das kyis kyang 'di 'dra ba'i rdzu 'phrul mngon par 'du bya ba mngon par 'du mdzad de / ci nas kun du rgyu nye rgyal dang / pang nas skyes gnyis g-yang sa chen po de mi mthong zhing lam drang por 'gro bar mdzad do // yang bdud sdig can gyis de gnyis kyi mdun du ri chen po brtan pa / sra ba ma bsnyil ba /	77.48521847412077
RjunA mArgeNa gacCataH	sul med pa / gcig tu stug por gyur pa / mkhregs pa /	47.89319832508381
punar api mAraH pApImAn tayoH puratas parvatam aBinirmimIte dR  suziram yojana sahasram ucca tvena sahasram ca siMhAnAm aBinirmicaNxAnAm duzwAnAm GorANAm	'phang du dpag tshad stong yod pa zhig mngon par sprul te / sengge khro zhing gdug la gtum pa / sgra chen po 'byin pa stong yang mngon par sprul na /	71.6549057673102
tO ca sat puruzO BagavataH tejasA ArdDi anuBAvena ca tam parvatam api na dadRSatuH na ca siMhAn na ca siMhanAdam CuSruvatuH	bcom ldan 'das kyis gzi brjid dang rdzu 'phrul gyi mthus skyes bu dam pa de gnyis kyis ri de'ang ma mthong /	76.77742680133113
RjunA ca mArgeNa yena BagavAn tena upasaMkrAmatuH	sengge'ang ma mthong; sengge'i skad kyang ma thos te lam drang por bcom ldan 'das ga la ba de logs su song ngo //	89.67668883270726
BagavAn ca aneka Sata sahasrayA parizadA parivRtaH puraskRtaH Darmam deSayati sma	bcom ldan 'das ni / 'khor brgya stong du mas yongs su bskor cing mdun gyis bltas nas chos ston te /	91.95867404847297
aTa Kalu BagavAn BikzUn Amantrayate sma	de nas bcom ldan 'das kyis dge slong rnams la bka' stsal pa / dge slong dag / khyed skyes bu dam pa / tshogs kyi gtso bo /	84.72954626865126
paSyata yUyam BikzavaH etO dvO sat puruzO gaNa pramuKO gaNa parivArO AhuH	g-yog gi tshogs can 'di gnyis la ltos / de dag gis gsol pa /	74.4289068768096
paSyAmaH vayam Bagavan	bcom ldan 'das / mthong lags so //	76.60263416346382
BagavAn Aha	bcom ldan 'das kyis bka' stsal pa /	94.66379267828805
etO dvO sat puruzO sa parivArO mama antike pravrajitvA ekaH mama sarva SrAvakANAm prajQAvatAm agro kurum iya Bavizyati dvitIyaH RdDimatAm	skyes bu dam pa 'di gnyis @295b g-yog dang bcas pa nga'i thad du rab tu byung nas gcig ni / nga'i nyan thos thams cad kyi nang na shes rab can gyi mchog tu 'gyur ro //	85.1439321393181
aTa anyataraH BikzuH tasyAm velAyAm imAH gATAH aBAzata	gcig ni / rdzu 'phrul can gyi mchog tu 'gyur ro; ;de nas dge slong zhig gis de'i tshe tshigs su bcad pa 'di smras so //	93.5143547043208
etO ca vijQa puruzO parivAravantO yO vyAkRtO hita kareNa nara uttamena	skyes bu mkhas pa g-yog ldan 'di gnyis ni // rdzu 'phrul ldan dang shes rab 'jigs med par // mi mchog phan pa mdzad pas lung bstan te //	85.22601456435083
samanvitO RdDi DiyA viSAradO upemi aham gOrava jAtaH etO aTa Kalu sa BikzuH utTAya AsanAt bahuBiH BikzuBiH sArDam bahuBiH ca gRhasTa pravrajitEH aByudgamya tO sat puruzO paryupAsate sma	bdag gis de gnyis bsti stang bskyed nas bsu // de nas dge slong de stan las langs nas dge slong mang po dang // khyim na gnas pa dang / rab tu byung ba mang po dang lhan cig tu skyes bu dam pa de gnyis bsus nas bsnyen bkur byas so //	82.30234846526976
aTa tO sat puruzO yena BagavAn tena upajagmatuH upetya BagavataH pAdO SirasA aBivandya tRpradakziNam kRtvA BagavataH puratas sTitvA BagavaMtam etat UcuH	de nas skyes bu dam pa de gnyis bcom ldan 'das ga la ba der song ste phyin nas bcom ldan 'das kyi zhabs la mgo bos phyag btsal te lan gsum bskor ba byas nas bcom ldan 'das kyi spyan sngar 'dug ste bcom ldan 'das la 'di skad ces gsol to // bcom ldan 'das /	95.08977969413668
laBevahi AvAm vA BagavataH ntike pravrajya upasaMpad Bikzu BAvam	rab tu 'byung ba dang / bsnyen par rdzogs pa dge slong gi dngos po bdag cag gnyis la stsal du gsol /	91.11817753426503
careyam AvAm BagavataH ntike brahmacaryam BagavAn Aha	bdag cag bcom ldan 'das kyi thang du tshangs par spyad pa spyod do; ;bcom ldan 'das kyis bka' stsal pa /	85.51566154240635
kiMnAma yuvAm kula putrO	rigs kyi bu / khyed gnyis kyi ming ci /	77.10010348833525
upatizyaH Aha	nye rgyal gyis gsol pa / bdag ni /	84.55850975653705
tizyasya brAhmaNasya aham putraH upatizyaH nAma	bram ze rgyal gyi bu lags te / nye rgyal zhes bgyi / bdag gi @296a *//	89.08911269791257
mAtA me SArikAH nAma	ma'i ming ni / sh'a ri ka ste /	81.39227585638723
tatas me janma	bdag de las skyes pas na /	74.33911915925833
tena me SAriputraH iti nAmaDeyam kRtam	de'i slad du bdag gi ming ni / sh'a ri'i bu zhes btags so //	93.15977064768474
aByanujQAtaH ham kurum iya pUrvam mAtA pitRByAm pravrajyAyE	bdag rab tu 'byung bar yang pha mas gnang lags so //	82.54108886864684
kolitaH Aha	pang nas skyes kyis gsol pa /	74.7470927156251
pitA me kONxiNyaH nAma	bdag gi pha'i ming ni /	72.09581004018368
tena me kOlitaH nAma	koondi n+ya zhes bgyi /	60.092494560324624
mAtA me mudgalA nAma	bdag gi ma'i ming ni / moonggal zhes bgyi ste / bdag de las skyes pas na /	79.86899203223152
tena me mOdgalyAyanaH iti sAmAnyam nAmaDeyam kRtam kaScid me janaH kOlitam iti saMjAnAti	de'i slad du bdag gi ming ni /	49.26847247258968
kaScid mOdgalyAyanaH iti	moonggal gyi bu zhes btags so //	83.82230257987976
aByanujQAtaH ham pUrvam mAtA pitRByAm pravrajyAyE BagavAn Aha	bdag rab tu 'byung bar yang pha mas gnang lags so //	84.34145578832344
caratAm SAriputra mOdgalyAyanO sa parivArO mama antike brahmacaryam iti	bcom ldan 'das kyis sh'a ri'i bu dang / moonggal gyi bu nga'i thad du g-yog dang bcas te tshangs par spyad pa spyod cig ces bka' stsal pa dang /	90.08730531723953
sA eva tayoH pravrajyA upasaMpad Bikzu BAvaH ca acira pravrajitO ca SAriputra mOdgalyAyanO sa parivArO	de nyid kyis de gnyis rab tu byung ba dang / bsnyen par rdzogs shing dge slong gi dngos por gyur to //	75.23711555713898
aTa mAraH pApImAn maheSvara rUpeNa BagavataH puratas sTitvA evam Aha	sh'a ri'i bu dang / moonggal gyi bu g-yog dang bcas pa rab tu byung nas ring po ma lon par bdud sdig can dbang phyug chen po'i gzugs su bcom ldan 'das kyi spyan sngar 'dug nas 'di skad ces smras so //	78.5336035648209
ye SAstra arTa paricariyAsu nipuNAH vidyAsu pAraMgatAH	gang dag bstan bcos don spyod mkhas pa rig pa'i pha rol song //	75.64004857137195
te sarve praNamaMti mad su caraNO tezAm aham nAyakaH	de kun nga yi rkang la phyag 'tshal de dag 'dren pa nga //	86.51413454855273
kzipram mad SaraNam sa Sizya parizam gacCa adya Bo gOtama	goo ta ma slob ma 'khor bcas nga la deng myur skyabs tshol cig /	85.91791374112844
sPItam nirvRti      tam vakzyAmi mArgam tava	mya ngan 'das 'gro rgyas pa gsal ba'i lam ni khyed la bshad //	76.10535015455106
BagavAn Aha	bcom ldan 'das kyis bka' stsal pa /	94.66379267828805
kurum iya tvad mArgaH jagataH sya durgati vahaH duHKa arNava prApako	khyod lam 'gro ba 'di dag ngan 'gror @296b 'dren cing sdug bsngal rgya mtsho rnyed par byed //	89.5541341992881
mArgaH me sa carAcarasya jagataH duHKa arNava ucCozakaH	nga yi lam ni rgyu dang mi rgyu 'gro ba'i sdug bsngal rgya mtsho skem byed pa //	82.90388532719643
kim BUyas lapasi pragalBa muKaraH DRzwam sRgAla svaraH vyABagnaH si na mAra karma iha me SaktaH si kartum punar	'chal ba 'dzem pa med cing mu cor smra ba wa skad de yang ci zhig zer; ;khyod ni bcom zin bdud kyi las kyis nga la da yang 'dir ni byed mi nus //	85.02332271731964
aTa mAraH pApImAn maheSvara rUpam aMtarDAya brahma vezeNa punar BagavataH puratas sTitvA evam Aha	de nas bdud sdig can gyis dbang phyug chen po'i gzugs mi snang bar byas nas tshangs pa'i cha lugs su bcom ldan 'das kyi spyan sngar 'dug ste 'di skad ces smras so //	94.54632250582091
karma kleSa Bava aMkura pramaTanam yat te kRtam prajQayA	khyod kyi shes rab kyis ni las dang nyon mongs sred pa'i myu gu rab tu bsal //	88.0392044071492
duHKAni utsahasi iha kim punar itas sattva arTam evam mune	de yi sman chad thub pa ji snyed sems can don 'dir 'di ltar sdug bsngal spro //	87.07777544214679
na asti asmim jagati praBo kvacid api tvad pAtra BUtaH janaH	gtso bo 'gro ba 'di na khyod kyi snod 'gyur skye bo gang na'ang ma mchis te //	88.43656512483669
kasmAt tvam vigata AmayaH na tvaritam nirvAsi kAlaH hi ayam BagavAn Aha	dus 'di lags na skyon dang bral khyod ci yi slad du mya ngan myur mi 'da'; ;bcom ldan 'das kyis bka' stsal pa /	90.54012314572506
gaMgA vAluka sanniBAn asadRSAn sattvAn prapaSyAmi aham	ngas 'dul gang 'khod sems can mtshungs med gangg'a'i bye ma snyed //	78.34972133231433
ye me vEnayikAH sTitAH karuNayA te saMpramokzyAH mayA kurum iya	ngas mthong de dag nga yi snying rjes thar par bya ba yin //	80.38748874835608
maDya utkRzwa jaGanya tAm upagataH nirmokzya nizWA jagat	'gro ba rab 'bring ngan par gyur pa thar te mthar thug na //	80.39243668401443
nirvAsyAmi tatas nimantrayasi mAm SAWyena kim durmate	de nas mya ngan 'da' yi blo gros ngan pa g-yos ci bskul //	76.03203718265877
